"0xe60000","+00 Weapon Type","+01 All weapons or a certain one?","+02 Animation Played","+03 Separator (always zero)","+04 Weapon Type","+05 All weapons or a certain one?","+06 Animation Played","+07 Separator (always zero)","+08 Weapon Type","+09 All weapons or a certain one?","+0A Animation Played","+0B Separator (always zero)","+0C Weapon Type","+0D All weapons or a certain one?","+0E Animation Played","+0F Separator (always zero)"
"0x8E60010","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60020","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60030","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60040","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60050","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60060","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60070","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60080","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60090","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E600A0","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E600B0","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E600C0","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E600D0","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E600E0","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E600F0","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60100","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60110","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60120","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60130","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60140","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60150","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60160","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60170","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60180","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60190","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E601A0","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E601B0","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E601C0","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E601D0","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E601E0","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E601F0","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
"0x8E60200","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255","0xff","255"
