"0xef8004","Battle Palette Pointer","##UNKNOWN##"
"0x00 None/Generic (Don't Edit)","0x32e0","0x72656d"
"0x01 Neimi (Archer)","0x8ef9000","0x656d61"
"0x02 Amelia (Knight)","0x8ef9054","0x6c6967"
"0x03 Gilliam (Knight)","0x8ef90bc","0x657262"
"0x04 Breguet (Knight)","0x8ef9128","0x616173"
"0x05 Saar (Knight)","0x8ef9194","0x72616d"
"0x06 Marisa (Assassin)","0x8ef9200","0x6d6f63"
"0x07 Colm (Assassin)","0x8ef9268","0x6f686a"
"0x08 Joshua (Assassin)","0x8ef92b8","0x6e6f62"
"0x09 Bone (Brigand)","0x8ef931c","0x7a6162"
"0x0A Bazba (Brigand)","0x8ef9380","0x737361"
"0x0B Artur (Bishop)","0x8ef93e4","0x74616e"
"0x0C Natasha (Bishop)","0x8ef9440","0x6c756d"
"0x0D Moulder (Bishop)","0x8ef949c","0x767269"
"0x0E Riev (Bishop)","0x8ef94f8","0x617765"
"0x0F ???","0x8ef9554","0x726167"
"0x10 Garcia (Hero)","0x8ef95b0","0x736f72"
"0x11 Ross (Pirate)","0x8ef9600","0x737978"
"0x12 Gerik (Hero)","0x8ef9664","0x7a6f64"
"0x13 Dozla (Berserker)","0x8ef96b4","0x736f72"
"0x14 Ross (Berserker)","0x8ef9708","0x746574"
"0x15 Tethys (Dancer)","0x8ef975c","0x677563"
"0x16 Cormag (Wyvern Rider)","0x8ef97ac","0x677563"
"0x17 Cormag (Wyvern Lord)","0x8ef9808","0x656c67"
"0x18 Glen (Wyvern Lord)","0x8ef9864","0x6f6e6b"
"0x19 Knoll (Druid)","0x8ef98c8","0x617765"
"0x1A Ewan (Druid)","0x8ef991c","0x727574"
"0x1B Tana (FalcoKnight)","0x8ef9970","0x6e6176"
"0x1C Vanessa (FalcoKnight)","0x8ef99c4","0x727973"
"0x1D Syrene (FalcoKnight)","0x8ef9a18","0x726167"
"0x1E Garcia (Fighter)","0x8ef9a68","0x736f72"
"0x1F Ross (Fighter)","0x8ef9ab8","0x656e6f"
"0x20 O'Neill (Prologue)","0x8ef9b08","0x737978"
"0x21 Gerik (Ranger)","0x8ef9b58","0x72656d"
"0x22 Neimi (Ranger)","0x8ef9bb0","0x726562"
"0x23 Beran (Ranger)","0x8ef9c08","0x656d61"
"0x24 Amelia (General)","0x8ef9c48","0x6c6967"
"0x25 Gilliam (General)","0x8ef9c9c","0x676976"
"0x26 Vigarde (General)","0x8ef9cf0","0x726974"
