"0x8b40a0","Character Reference Number","Starting Class","***UNKNOWN*** (Usually Zero)","Starting Level/Alliance","Co-ordinate","***UNKNOWN***","Reinforcement Placement?","Reinforcement Pointer?","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x1","0x2","0x1","0x8","0x24e","0x0","0x1","0x88b4008","0x9","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1","0x2","0x7","0x1","0x8","0x24e","0x0","0x1","0x88b4010","0x3","0x17","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x2","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3","0x46","0x9","0x46","0x24","0x242","0x0","0x1","0x88b4018","0x14","0x0","0x0","0x0","0x3","0x3","0x9","0x20"
"0x4","0x80","0x4e","0x46","0x15","0x241","0x0","0x1","0x88b4020","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x5","0x80","0x4e","0x46","0x15","0x242","0x0","0x2","0x88b4028","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x6","0x80","0x4e","0x46","0x1d","0x242","0x0","0x1","0x88b4038","0x14","0x0","0x0","0x0","0x3","0x12","0x1","0x0"
"0x7","0x80","0x3f","0x46","0x15","0x241","0x0","0x1","0x88b4040","0x1f","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x8","0x80","0x3f","0x46","0x15","0x242","0x0","0x1","0x88b4048","0x1f","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x9","0x80","0x3f","0x46","0x15","0x242","0x0","0x1","0x88b4050","0x1f","0x0","0x0","0x0","0x0","0x12","0x1","0x0"
"0xa","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb","0x4","0x5","0x1","0x8","0x5","0x0","0x1","0x88b4058","0x1","0x14","0x6c","0x6c","0x0","0x0","0x0","0x0"
"0xc","0x3","0x9","0x0","0x20","0x6","0x0","0x1","0x88b4060","0x14","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xe","0x80","0x3f","0x46","0xd","0x24e","0x0","0x1","0x88b4068","0x1f","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0xf","0x83","0x4e","0x46","0x15","0x24e","0x0","0x1","0x88b4070","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x10","0x80","0x3f","0x46","0xd","0x24e","0x0","0x1","0x88b4078","0x1f","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x11","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x12","0xc1","0x5","0x0","0xa","0x82","0x0","0x3","0x88b4080","0x14","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x13","0xc0","0xf","0x0","0xa","0x82","0x0","0x1","0x88b4098","0x1","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x14","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
