"0x8c2c54","Character Reference Number","Starting Class","***UNKNOWN*** (Usually Zero)","Starting Level/Alliance","X Co-ordinate","Y Co-ordinate","***UNKNOWN***","Reinforcement Placement?","Reinforcement Pointer?","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0xf","0x1","0x0","0xa0","146","0","0x0","0x0","0x0","0x16","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x1","0x2","0x7","0x0","0x50","145","0","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x2","0x22","0x48","0x0","0x50","20","1","0x0","0x0","0x0","0x16","0x1c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x3","0x2","0x7","0x0","0x50","18","1","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x4","0x2","0x7","0x0","0x50","147","0","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x5","0x2","0x7","0x0","0x50","211","0","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x6","0x2","0x7","0x0","0x50","81","0","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x7","0x2","0x7","0x0","0x50","83","0","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x8","0x2","0x7","0x0","0x50","82","0","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x9","0x2","0x7","0x0","0x50","209","0","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xa","0x2","0x7","0x0","0x50","80","0","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xb","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc","0x44","0x2a","0x0","0x44","82","3","0x0","0x0","0x0","0x3b","0x3a","0x0","0x0","0x3","0x3","0x9","0x20"
"0xd","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xe","0x80","0xf","0x0","0x3d","206","3","0x0","0x1","0x88c2a64","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0xf","0x80","0x13","0x0","0x55","206","35","0x0","0x1","0x88c2a6c","0x12","0x0","0x0","0x0","0x0","0xb","0x9","0x0"
"0x10","0x80","0x19","0x0","0x4d","209","3","0x0","0x1","0x88c2a74","0x31","0x0","0x0","0x0","0x3","0x3","0x9","0x0"
"0x11","0x80","0x3f","0x0","0x55","201","1","0x0","0x1","0x88c2a7c","0x1f","0x0","0x0","0x0","0x0","0xb","0x9","0x0"
"0x12","0x80","0x3f","0x0","0x55","200","1","0x0","0x1","0x88c2a84","0x1f","0x0","0x0","0x0","0x0","0xb","0x9","0x0"
"0x13","0x80","0x3f","0x0","0x55","199","1","0x0","0x1","0x88c2a8c","0x28","0x0","0x0","0x0","0x0","0xb","0x9","0x0"
"0x14","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x15","0x5b","0x1d","0x0","0x3c","82","3","0x0","0x0","0x0","0x12","0x31","0x34","0x0","0x3","0x3","0x9","0x20"
"0x16","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x17","0x80","0x4e","0x0","0x55","138","1","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x18","0x80","0x4e","0x0","0x55","74","1","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x19","0x80","0x19","0x0","0x4d","199","0","0x0","0x0","0x0","0x2d","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1a","0x80","0xf","0x0","0x55","9","1","0x0","0x0","0x0","0x1","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1b","0x80","0xf","0x0","0x55","134","1","0x0","0x0","0x0","0x1","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1c","0x80","0xf","0x0","0x55","69","1","0x0","0x0","0x0","0x1","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1d","0x80","0x42","0x0","0x4d","203","4","0x0","0x0","0x0","0x1f","0x0","0x0","0x0","0x0","0x4","0x9","0x0"
"0x1e","0x80","0x42","0x0","0x4d","129","3","0x0","0x0","0x0","0x1f","0x0","0x0","0x0","0x0","0x4","0x9","0x0"
"0x1f","0x80","0x42","0x0","0x4d","64","3","0x0","0x0","0x0","0x28","0x0","0x0","0x0","0x0","0x4","0x9","0x0"
"0x20","0x80","0x50","0x0","0x55","210","4","0x0","0x0","0x0","0x35","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x21","0x80","0x50","0x0","0x55","192","32","0x0","0x0","0x0","0x35","0x5d","0x0","0x0","0x3","0x0","0x9","0x0"
"0x22","0x80","0x5","0x0","0x5d","16","35","0x0","0x0","0x0","0x1c","0x1b","0x0","0x0","0x3","0x3","0x9","0x0"
"0x23","0x80","0x5","0x0","0x5d","144","35","0x0","0x0","0x0","0x1c","0xd","0x0","0x0","0x3","0x3","0x9","0x0"
"0x24","0x80","0x2d","0x0","0x55","147","3","0x0","0x0","0x0","0x46","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x25","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x26","0x80","0x42","0x0","0x4d","205","4","0x0","0x0","0x0","0x1f","0x0","0x0","0x0","0x0","0x4","0x9","0x0"
"0x27","0x80","0x42","0x0","0x4d","0","3","0x0","0x0","0x0","0x1f","0x0","0x0","0x0","0x0","0x4","0x9","0x0"
"0x28","0x80","0x3f","0x0","0x4d","200","1","0x0","0x1","0x88c2a94","0x20","0x0","0x0","0x0","0x0","0xb","0x9","0x0"
"0x29","0x80","0x42","0x0","0x4d","207","4","0x0","0x0","0x0","0x1f","0x0","0x0","0x0","0x0","0x4","0x9","0x0"
"0x2a","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2b","0x1d","0x35","0x0","0x42","75","3","0x0","0x6","0x88c2a9c","0x21","0x16","0x6c","0x0","0x3","0x3","0x9","0x20"
"0x2c","0x89","0x5","0x0","0x53","9","3","0x0","0x3","0x88c2acc","0x14","0x6c","0x0","0x0","0x3","0x3","0xb","0x0"
"0x2d","0x8a","0x5","0x0","0x5b","10","3","0x0","0x4","0x88c2ae4","0x1","0x6c","0x0","0x0","0x3","0x3","0xb","0x0"
