"0x8b9894","Character Reference Number","Starting Class","***UNKNOWN*** (Usually Zero)","Starting Level/Alliance","X Co-ordinate","Y Co-ordinate","***UNKNOWN***","Reinforcement Placement?","Reinforcement Pointer?","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x1","0x2","0x0","0x58","195","0","0x0","0x0","0x0","0x9","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1","0x9","0xd","0x0","0x58","197","0","0x0","0x0","0x0","0x1","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2","0x6","0x48","0x0","0x58","193","0","0x0","0x0","0x0","0x15","0x1c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x3","0x3","0x9","0x0","0x58","4","1","0x0","0x0","0x0","0x14","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4","0x4","0x5","0x0","0x58","69","0","0x0","0x0","0x0","0x1","0x14","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x5","0xb","0x1b","0x0","0x10","132","0","0x0","0x0","0x0","0x2f","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6","0x13","0x44","0x0","0x58","130","0","0x0","0x0","0x0","0x3f","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7","0xa","0x3f","0x0","0x58","67","0","0x0","0x0","0x0","0x1f","0x28","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8","0x2","0x7","0x0","0x28","2","1","0x0","0x0","0x0","0x3","0x17","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x9","0x5","0x45","0x0","0x58","65","0","0x0","0x0","0x0","0x4b","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa","0x14","0xf","0x0","0x58","67","1","0x0","0x0","0x0","0x5","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc","0xaa","0x52","0x0","0x55","192","2","0x0","0x0","0x0","0xad","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0xd","0xaa","0x52","0x0","0x55","128","2","0x0","0x0","0x0","0xad","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0xe","0xac","0x54","0x0","0x55","76","1","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0xf","0xac","0x54","0x0","0x55","139","1","0x0","0x0","0x0","0x1","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x10","0xac","0x54","0x0","0x15","18","3","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0x11","0xac","0x54","0x0","0x55","11","1","0x0","0x0","0x0","0x1","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x12","0xac","0x54","0x0","0x55","146","33","0x0","0x0","0x0","0x2","0x69","0x0","0x0","0x0","0x3","0xc","0x0"
