"0x8ba948","Character Reference Number","Starting Class","***UNKNOWN*** (Usually Zero)","Starting Level/Alliance","X Co-ordinate","Y Co-ordinate","***UNKNOWN***","Reinforcement Placement?","Reinforcement Pointer?","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x1","0x2","0x0","0x50","8","2","0x0","0x0","0x0","0x9","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x1","0x2","0x7","0x0","0x50","10","2","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x2","0x2","0x7","0x0","0x50","138","2","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x3","0x2","0x7","0x0","0x50","73","2","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x4","0x2","0x7","0x0","0x50","201","1","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x5","0x2","0x7","0x0","0x50","137","1","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x6","0x2","0x7","0x0","0x50","136","1","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x7","0x2","0x7","0x0","0x50","72","2","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x8","0x22","0x48","0x0","0x50","136","2","0x0","0x0","0x0","0x16","0x17","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x9","0x4","0x5","0x0","0x50","199","1","0x0","0x0","0x0","0x3","0x16","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xa","0x2","0x7","0x0","0x50","135","2","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xb","0x2","0x7","0x0","0x50","70","2","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xc","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd","0x51","0x35","0x0","0x54","215","34","0x0","0x2","0x88ba828","0x96","0x7","0x2b","0x65","0x3","0x3","0x9","0x20"
"0xe","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xf","0x80","0x19","0x0","0x5d","81","2","0x0","0x0","0x0","0x2d","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x10","0x80","0x19","0x0","0x5d","209","1","0x0","0x0","0x0","0x2d","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x11","0x80","0x19","0x0","0x5d","75","3","0x0","0x0","0x0","0x2d","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x12","0x80","0x19","0x0","0x5d","140","3","0x0","0x0","0x0","0x2d","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x13","0x80","0x9","0x0","0x65","211","1","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x14","0x80","0x9","0x0","0x65","19","2","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x15","0x80","0x9","0x0","0x65","83","2","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x16","0x80","0x1d","0x0","0x1d","213","1","0x0","0x0","0x0","0x3","0x2d","0x0","0x0","0x0","0x3","0x9","0x0"
"0x17","0x80","0x1d","0x0","0x15","20","2","0x0","0x0","0x0","0x1","0x2e","0x0","0x0","0x0","0x0","0x9","0x0"
"0x18","0x80","0x5","0x0","0x65","148","2","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x19","0x80","0x5","0x0","0x65","148","1","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1a","0x80","0x45","0x0","0x6d","214","1","0x0","0x0","0x0","0x52","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1b","0x80","0x9","0x0","0x65","15","2","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1c","0x80","0x45","0x0","0x55","86","2","0x0","0x0","0x0","0x4e","0x4c","0x76","0x0","0xe","0x3","0x8","0x0"
"0x1d","0x80","0x1d","0x0","0x15","85","2","0x0","0x0","0x0","0x3","0x2d","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1e","0x80","0x5","0x0","0x65","20","3","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1f","0x80","0x5","0x0","0x65","20","1","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x20","0x80","0x4e","0x0","0x65","208","2","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x21","0x80","0x4e","0x0","0x65","209","2","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x22","0x80","0x4e","0x0","0x65","16","3","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x23","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x24","0x80","0x19","0x0","0x5d","204","0","0x0","0x0","0x0","0x2d","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x25","0x80","0x19","0x0","0x5d","141","0","0x0","0x0","0x0","0x2e","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x26","0x80","0x4e","0x0","0x65","196","3","0x0","0x0","0x0","0x1c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x27","0x80","0x4e","0x0","0x65","133","3","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x12","0x9","0x0"
"0x28","0xa9","0xf","0x0","0x65","64","2","0x0","0x1","0x88ba838","0x3","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x29","0x80","0x4e","0x0","0x65","198","3","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x2a","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2b","0x4f","0x27","0x0","0x4d","192","1","0x0","0x1","0x88ba840","0x3a","0x42","0x4c","0x0","0x0","0x12","0x9","0x0"
"0x2c","0xa9","0x41","0x0","0x65","128","1","0x0","0x1","0x88ba848","0x1f","0x28","0x0","0x0","0x0","0x0","0x9","0x0"
"0x2d","0xa9","0x41","0x0","0x65","64","1","0x0","0x1","0x88ba850","0x1f","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x2e","0xa9","0x41","0x0","0x65","64","2","0x0","0x1","0x88ba858","0x22","0x63","0x0","0x0","0x0","0x0","0x9","0x0"
"0x2f","0xa9","0x41","0x0","0x65","0","2","0x0","0x1","0x88ba860","0x1f","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x30","0xa9","0xf","0x0","0x65","64","1","0x0","0x1","0x88ba868","0x1","0x0","0x0","0x0","0x0","0x12","0x9","0x0"
"0x31","0xa9","0xf","0x0","0x65","64","2","0x0","0x1","0x88ba870","0x1","0x0","0x0","0x0","0x0","0x12","0x9","0x0"
"0x32","0xa9","0x40","0x0","0x15","192","33","0x0","0x1","0x88ba878","0x2b","0x28","0x0","0x0","0x0","0x0","0x9","0x0"
"0x33","0xa9","0x25","0x0","0x5d","128","1","0x0","0x1","0x88ba880","0x38","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x34","0xa9","0x25","0x0","0x5d","0","2","0x0","0x1","0x88ba888","0x38","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x35","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x36","0xa9","0x5","0x0","0x65","128","1","0x0","0x0","0x0","0x16","0x0","0x0","0x0","0x0","0x12","0x9","0x0"
"0x37","0xa9","0x5","0x0","0x65","0","2","0x0","0x0","0x0","0x16","0x0","0x0","0x0","0x0","0x12","0x9","0x0"
"0x38","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x39","0x80","0x5","0x0","0x65","87","0","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x3a","0x80","0x5","0x0","0x65","215","0","0x0","0x0","0x0","0x1","0x1c","0x0","0x0","0x0","0x0","0x9","0x0"
"0x3b","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3c","0x80","0x5","0x0","0x65","215","2","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x3d","0x80","0x5","0x0","0x65","87","3","0x0","0x0","0x0","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x3e","0x80","0x5","0x0","0x5d","215","3","0x0","0x0","0x0","0x14","0x1c","0x0","0x0","0x0","0x0","0x9","0x0"
"0x3f","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x40","0x80","0xf","0x0","0x5d","131","32","0x0","0x0","0x0","0x13","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x41","0x80","0x3f","0x0","0x65","68","0","0x0","0x0","0x0","0x1f","0x28","0x0","0x0","0x0","0x0","0x9","0x0"
"0x42","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x43","0x80","0xf","0x0","0x65","131","0","0x0","0x0","0x0","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x44","0x80","0x3f","0x0","0x65","68","0","0x0","0x0","0x0","0x1f","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x45","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x46","0x80","0x1f","0x0","0x55","64","3","0x0","0x1","0x88ba890","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x47","0xe","0x1f","0x0","0x5d","192","35","0x0","0x1","0x88ba898","0x1a","0x16","0x67","0x0","0x0","0x0","0x9","0x0"
"0x48","0x80","0x1f","0x0","0x55","194","3","0x0","0x1","0x88ba8a0","0x16","0x1c","0x0","0x0","0x0","0x0","0x9","0x0"
"0x49","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4a","0x12","0x47","0x0","0x25","17","3","0x0","0x0","0x0","0x15","0x6c","0x5e","0x0","0x0","0x0","0x9","0x0"
"0x4b","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4c","0x53","0x11","0x0","0x4d","215","34","0x0","0x1","0x88ba8a8","0x0","0x0","0x0","0x0","0x3","0x3","0x9","0x0"
"0x4d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4e","0x1","0x2","0x0","0x50","5","2","0x0","0x1","0x88ba8b0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4f","0x19","0x4b","0x0","0x50","69","2","0x0","0x1","0x88ba8b8","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x50","0xb","0x1b","0x0","0x50","197","1","0x0","0x1","0x88ba8c0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x51","0x2","0x7","0x0","0x50","69","2","0x0","0x1","0x88ba8c8","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x52","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x53","0x2","0x7","0x0","0x50","133","1","0x0","0x1","0x88ba8d0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x54","0x22","0x48","0x0","0x50","133","2","0x0","0x1","0x88ba8d8","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x55","0x2","0x7","0x0","0x50","133","1","0x0","0x1","0x88ba8e0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x56","0x2","0x7","0x0","0x50","5","2","0x0","0x1","0x88ba8e8","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x57","0x2","0x7","0x0","0x50","69","2","0x0","0x1","0x88ba8f0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x58","0x2","0x7","0x0","0x50","133","2","0x0","0x1","0x88ba8f8","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x59","0x4","0x5","0x0","0x50","197","1","0x0","0x1","0x88ba900","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
