"0x8c4eb4","Character Reference Number","Starting Class","***UNKNOWN*** (Usually Zero)","Starting Level/Alliance","X Co-ordinate","Y Co-ordinate","***UNKNOWN***","Reinforcement Placement?","Reinforcement Pointer?","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0xf","0x1","0x0","0x50","71","0","0x0","0x0","0x0","0x78","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x1","0x18","0x25","0x0","0x50","6","0","0x0","0x0","0x0","0x3a","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2","0x16","0x14","0x0","0x50","69","0","0x0","0x0","0x0","0x3","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3","0x2","0x7","0x0","0x50","73","0","0x0","0x0","0x0","0x17","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4","0x2","0x7","0x0","0x50","4","0","0x0","0x0","0x0","0x17","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5","0x2","0x7","0x0","0x50","8","0","0x0","0x0","0x0","0x17","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6","0x2","0x7","0x0","0x50","134","0","0x0","0x0","0x0","0x17","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7","0x2","0x7","0x0","0x50","132","0","0x0","0x0","0x0","0x17","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8","0x2","0x7","0x0","0x50","70","0","0x0","0x0","0x0","0x17","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9","0x2","0x7","0x0","0x50","10","0","0x0","0x0","0x0","0x17","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa","0x2","0x7","0x0","0x50","136","0","0x0","0x0","0x0","0x17","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc","0x44","0x2a","0x0","0x5c","81","3","0x0","0x1","0x88c4e24","0x3b","0x3a","0x0","0x0","0x3","0x3","0x9","0x20"
"0xd","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xe","0x80","0x5","0x0","0x65","78","2","0x0","0x0","0x0","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0xf","0x80","0x5","0x0","0x65","77","2","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x10","0x80","0x4b","0x0","0x65","75","34","0x0","0x0","0x0","0x52","0x4c","0x5c","0x0","0x0","0x3","0x9","0x20"
"0x11","0x80","0x5","0x0","0x65","198","2","0x0","0x0","0x0","0x1","0x0","0x0","0x0","0x0","0x12","0x9","0x0"
"0x12","0x80","0x5","0x0","0x65","199","2","0x0","0x0","0x0","0x1c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x13","0x80","0x5","0x0","0x65","212","3","0x0","0x0","0x0","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x14","0x80","0x5","0x0","0x65","213","3","0x0","0x0","0x0","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x15","0x80","0x5","0x0","0x65","67","2","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x16","0x80","0x5","0x0","0x65","195","3","0x0","0x0","0x0","0x1c","0x0","0x0","0x0","0x0","0x12","0x9","0x0"
"0x17","0x80","0x5","0x0","0x65","200","1","0x0","0x0","0x0","0x1","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x18","0x80","0x5","0x0","0x65","201","1","0x0","0x0","0x0","0x1","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x19","0x80","0x5","0x0","0x65","6","3","0x0","0x0","0x0","0x3","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1a","0x80","0x5","0x0","0x5d","7","35","0x0","0x0","0x0","0x8d","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1b","0x80","0x5","0x0","0x65","64","2","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1c","0x80","0x5","0x0","0x65","194","3","0x0","0x0","0x0","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x1d","0x80","0x3f","0x0","0x65","84","3","0x0","0x0","0x0","0x28","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
