"0x8c5fbc","Character Reference Number","Starting Class","***UNKNOWN*** (Usually Zero)","Starting Level/Alliance","X Co-ordinate","Y Co-ordinate","***UNKNOWN***","Reinforcement Placement?","Reinforcement Pointer?","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0xf","0x1","0x0","0x50","22","7","0x0","0x0","0x0","0x78","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x1","0x2","0x7","0x0","0x50","23","7","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x2","0x2","0x7","0x0","0x50","6","7","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x3","0x2","0x7","0x0","0x50","68","7","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x4","0x2","0x7","0x0","0x50","71","7","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x5","0x19","0x4b","0x0","0x50","5","7","0x0","0x0","0x0","0x4c","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x6","0x2","0x7","0x0","0x50","86","7","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x7","0x2","0x7","0x0","0x50","88","7","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x8","0x2","0x7","0x0","0x50","87","7","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x9","0x2","0x7","0x0","0x50","69","7","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xa","0x2","0x7","0x0","0x50","70","7","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xb","0x2","0x7","0x0","0x50","85","7","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xc","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd","0x6b","0xb","0x0","0x6c","142","32","0x0","0x0","0x0","0x1d","0x65","0x0","0x0","0x3","0x3","0x9","0x20"
"0xe","0x40","0x4f","0x6b","0xd","207","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xf","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x10","0x80","0x2b","0x0","0x35","213","2","0x0","0x0","0x0","0x51","0x40","0x0","0x0","0x0","0x3","0x9","0x0"
"0x11","0x80","0x2b","0x0","0x35","199","34","0x0","0x0","0x0","0x52","0x40","0x0","0x0","0x0","0x3","0x9","0x0"
"0x12","0x80","0x2f","0x0","0x2d","9","1","0x0","0x0","0x0","0x46","0x53","0x0","0x0","0x0","0x3","0x9","0x0"
"0x13","0x80","0x2f","0x0","0x2d","19","33","0x0","0x0","0x0","0x47","0x53","0x76","0x0","0x0","0x3","0x9","0x0"
"0x14","0x80","0x2d","0x0","0x75","142","1","0x0","0x0","0x0","0x46","0x47","0x0","0x0","0x0","0x3","0x9","0x0"
"0x15","0x80","0x2d","0x0","0x75","142","34","0x0","0x0","0x0","0x46","0x6a","0x0","0x0","0x0","0x3","0x9","0x0"
"0x16","0x80","0x2d","0x0","0x6d","206","36","0x0","0x0","0x0","0x46","0x69","0x0","0x0","0x0","0x3","0x9","0x0"
"0x17","0x80","0x2d","0x0","0x6d","148","5","0x0","0x0","0x0","0x45","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x18","0x80","0x3f","0x0","0x65","213","3","0x0","0x0","0x0","0x28","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x19","0x80","0x13","0x0","0x65","199","3","0x0","0x0","0x0","0x3","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1a","0x80","0xf","0x0","0x65","6","36","0x0","0x0","0x0","0xe","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x1b","0x80","0x13","0x0","0x65","71","4","0x0","0x0","0x0","0x3","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1c","0x80","0x25","0x0","0x6d","136","5","0x0","0x0","0x0","0x39","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1d","0x80","0x9","0x0","0x6d","142","37","0x0","0x0","0x0","0x1c","0x16","0x6a","0x0","0x3","0x3","0x9","0x20"
"0x1e","0x80","0x3f","0x0","0x65","195","4","0x0","0x0","0x0","0x28","0x0","0x0","0x0","0x0","0x12","0x9","0x0"
"0x1f","0x80","0x3f","0x0","0x65","3","5","0x0","0x0","0x0","0x1f","0x0","0x0","0x0","0x0","0x12","0x9","0x0"
"0x20","0x80","0x4e","0x0","0x65","217","4","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x12","0x9","0x0"
"0x21","0x80","0x4e","0x0","0x65","25","5","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x12","0x9","0x0"
"0x22","0x80","0x3f","0x0","0x6d","20","36","0x0","0x0","0x0","0x2a","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x23","0x80","0x3f","0x0","0x65","22","4","0x0","0x0","0x0","0x20","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
