"0x8c6e14","Character Reference Number","Starting Class","***UNKNOWN*** (Usually Zero)","Starting Level/Alliance","X Co-ordinate","Y Co-ordinate","***UNKNOWN***","Reinforcement Placement?","Reinforcement Pointer?","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0xf","0x1","0x0","0x50","194","4","0x0","0x1","0x88c6cf4","0x78","0x16","0x6d","0x0","0x0","0x0","0x0","0x0"
"0x1","0x2","0x7","0x0","0x50","129","4","0x0","0x1","0x88c6cfc","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x2","0x2","0x7","0x0","0x50","131","4","0x0","0x1","0x88c6d04","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x3","0x2","0x7","0x0","0x50","192","4","0x0","0x1","0x88c6d0c","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x4","0x2","0x7","0x0","0x50","196","4","0x0","0x1","0x88c6d14","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x5","0x2","0x7","0x0","0x50","1","5","0x0","0x1","0x88c6d1c","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x6","0x2","0x7","0x0","0x50","2","5","0x0","0x1","0x88c6d24","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x7","0x2","0x7","0x0","0x50","3","5","0x0","0x1","0x88c6d2c","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x8","0x2","0x7","0x0","0x50","64","5","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x9","0x2","0x7","0x0","0x50","66","5","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xa","0x2","0x7","0x0","0x50","68","5","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xb","0x2","0x7","0x0","0x50","66","4","0x0","0x1","0x88c6d34","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xc","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd","0x43","0x23","0x0","0x6c","213","36","0x0","0x0","0x0","0x1d","0x1a","0x71","0x0","0x3","0x3","0x9","0x20"
"0xe","0x80","0x1f","0x0","0x6d","20","3","0x0","0x0","0x0","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0xf","0x80","0x1f","0x0","0x6d","148","3","0x0","0x0","0x0","0x16","0x1c","0x0","0x0","0x0","0x3","0x9","0x0"
"0x10","0x80","0x1f","0x0","0x6d","22","3","0x0","0x0","0x0","0x16","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x11","0x80","0x1f","0x0","0x6d","150","3","0x0","0x0","0x0","0x16","0x1c","0x0","0x0","0x0","0x0","0x9","0x0"
"0x12","0x80","0x1f","0x0","0x6d","85","3","0x0","0x0","0x0","0x16","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x13","0x81","0x1f","0x0","0x6d","85","4","0x0","0x0","0x0","0x16","0x0","0x0","0x0","0x3","0x3","0x9","0x0"
"0x14","0x82","0x1f","0x0","0x6d","148","4","0x0","0x0","0x0","0x16","0x0","0x0","0x0","0x3","0x3","0x9","0x0"
"0x15","0x81","0x1f","0x0","0x6d","211","4","0x0","0x0","0x0","0x16","0x0","0x0","0x0","0x3","0x3","0x9","0x0"
"0x16","0x82","0x1f","0x0","0x6d","214","4","0x0","0x0","0x0","0x16","0x1c","0x0","0x0","0x3","0x3","0x9","0x0"
"0x17","0x82","0x1f","0x0","0x6d","20","5","0x0","0x0","0x0","0x16","0x1c","0x0","0x0","0x3","0x3","0x9","0x0"
"0x18","0x81","0x1f","0x0","0x6d","85","5","0x0","0x0","0x0","0x16","0x0","0x0","0x0","0x3","0x3","0x9","0x0"
"0x19","0x81","0x7","0x0","0x25","16","5","0x0","0x0","0x0","0x17","0x0","0x0","0x0","0x3","0x3","0x9","0x0"
"0x1a","0x80","0x5","0x0","0x75","207","4","0x0","0x0","0x0","0x16","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1b","0x80","0x5","0x0","0x75","14","5","0x0","0x0","0x0","0x16","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1c","0x81","0x1d","0x0","0x25","209","4","0x0","0x0","0x0","0x3","0x2e","0x0","0x0","0x0","0x3","0x9","0x0"
