"0x8c7648","Character Reference Number","Starting Class","***UNKNOWN*** (Usually Zero)","Starting Level/Alliance","X Co-ordinate","Y Co-ordinate","***UNKNOWN***","Reinforcement Placement?","Reinforcement Pointer?","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0xf","0x1","0x0","0x50","195","6","0x0","0x0","0x0","0x16","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x1","0x1","0x2","0x0","0x50","0","6","0x0","0x0","0x0","0x9","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x2","0x2","0x7","0x0","0x50","192","5","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x3","0x2","0x7","0x0","0x50","196","6","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x4","0x2","0x7","0x0","0x50","130","6","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x5","0x2","0x7","0x0","0x50","131","6","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x6","0x2","0x7","0x0","0x50","65","6","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x7","0x2","0x7","0x0","0x50","64","5","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x8","0x2","0x7","0x0","0x50","194","6","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x9","0x2","0x7","0x0","0x50","64","6","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xa","0x1e","0x3c","0x0","0x8","129","6","0x0","0x0","0x0","0xaa","0x6d","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xb","0x2","0x7","0x0","0x50","66","6","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xc","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd","0x6d","0x7","0x0","0x6c","205","0","0x0","0x0","0x0","0x11","0x17","0x0","0x0","0x3","0x3","0x9","0x20"
"0xe","0x91","0x2f","0x0","0x55","75","1","0x0","0x0","0x0","0x47","0x48","0x0","0x0","0x6","0x3","0x9","0x0"
"0xf","0x91","0x2f","0x0","0x55","77","1","0x0","0x0","0x0","0x46","0x48","0x0","0x0","0x6","0x3","0x9","0x0"
"0x10","0x91","0x2f","0x0","0x55","79","1","0x0","0x0","0x0","0x47","0x48","0x0","0x0","0x6","0x3","0x9","0x0"
"0x11","0x8f","0x40","0x0","0x45","5","37","0x0","0x0","0x0","0x20","0x64","0x0","0x0","0x3","0x3","0x9","0x0"
"0x12","0x8f","0xf","0x0","0x7d","198","4","0x0","0x0","0x0","0x1","0x0","0x0","0x0","0x3","0x3","0x9","0x0"
"0x13","0x8f","0xf","0x0","0x7d","70","5","0x0","0x0","0x0","0x1","0x0","0x0","0x0","0x3","0x3","0x9","0x0"
"0x14","0x8f","0xf","0x0","0x7d","68","5","0x0","0x0","0x0","0x1","0x0","0x0","0x0","0x3","0x3","0x9","0x0"
"0x15","0x8f","0xf","0x0","0x7d","196","4","0x0","0x0","0x0","0x1","0x0","0x0","0x0","0x3","0x3","0x9","0x0"
