"0x8c8ad8","Character Reference Number","Starting Class","***UNKNOWN*** (Usually Zero)","Starting Level/Alliance","X Co-ordinate","Y Co-ordinate","***UNKNOWN***","Reinforcement Placement?","Reinforcement Pointer?","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0xf","0x1","0x0","0x50","194","5","0x0","0x0","0x0","0x78","0x16","0x6d","0x0","0x0","0x0","0x0","0x0"
"0x1","0x2","0x7","0x0","0x50","132","5","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x2","0x2","0x7","0x0","0x50","0","6","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x3","0x2","0x7","0x0","0x50","195","5","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x4","0x2","0x7","0x0","0x50","2","6","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x5","0x2","0x7","0x0","0x50","128","5","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x6","0x2","0x7","0x0","0x50","129","6","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x7","0x1","0x2","0x0","0x50","130","5","0x0","0x0","0x0","0x9","0x6d","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x8","0x2","0x7","0x0","0x50","196","5","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x9","0x2","0x7","0x0","0x50","193","5","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xa","0x2","0x7","0x0","0x50","65","6","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xb","0x2","0x7","0x0","0x50","67","6","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xc","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd","0x56","0x61","0x56","0x7c","19","1","0x0","0x0","0x0","0xab","0xb5","0x0","0x0","0x0","0x3","0x4","0x0"
"0xe","0xba","0x62","0x56","0x25","22","2","0x0","0x0","0x0","0xab","0x0","0x0","0x0","0x0","0x3","0x4","0x0"
"0xf","0xba","0x62","0x56","0x1d","135","0","0x0","0x0","0x0","0xb5","0xab","0x0","0x0","0x0","0x0","0x4","0x0"
"0x10","0xba","0x62","0x56","0x1d","73","4","0x0","0x0","0x0","0xab","0x0","0x0","0x0","0x3","0x3","0x4","0x0"
"0x11","0xba","0x62","0x56","0x15","72","4","0x0","0x0","0x0","0xab","0x0","0x0","0x0","0x3","0x3","0x4","0x0"
"0x12","0xba","0x62","0x56","0xd","136","4","0x0","0x0","0x0","0xab","0xb5","0x0","0x0","0x3","0x3","0x4","0x0"
"0x13","0xba","0x62","0x56","0x15","71","3","0x0","0x0","0x0","0xab","0xb5","0x0","0x0","0x3","0x3","0x4","0x0"
"0x14","0xba","0x62","0x56","0x25","140","4","0x0","0x0","0x0","0xab","0xb5","0x0","0x0","0x0","0x3","0x4","0x0"
"0x15","0xba","0x62","0x56","0x1d","147","6","0x0","0x0","0x0","0xb5","0xab","0x0","0x0","0x0","0x0","0x4","0x0"
"0x16","0xba","0x62","0x56","0x1d","73","0","0x0","0x0","0x0","0xab","0x0","0x0","0x0","0x3","0x3","0x4","0x0"
"0x17","0xba","0x62","0x56","0x25","86","1","0x0","0x0","0x0","0xab","0xb5","0x0","0x0","0x0","0x3","0x4","0x0"
"0x18","0xba","0x62","0x56","0x15","84","6","0x0","0x0","0x0","0xab","0x0","0x0","0x0","0x3","0x3","0x4","0x0"
"0x19","0xba","0x62","0x56","0x25","148","3","0x0","0x0","0x0","0xab","0x0","0x0","0x0","0x3","0x3","0x4","0x0"
"0x1a","0xba","0x62","0x56","0x1d","213","3","0x0","0x0","0x0","0xb5","0xab","0x0","0x0","0x3","0x3","0x4","0x0"
"0x1b","0xba","0x62","0x56","0x25","19","4","0x0","0x0","0x0","0xab","0x0","0x0","0x0","0x3","0x0","0x4","0x0"
"0x1c","0xba","0x62","0x56","0x25","21","1","0x0","0x0","0x0","0xab","0xb5","0x0","0x0","0x3","0x3","0x4","0x0"
"0x1d","0xba","0x62","0x56","0x1d","7","0","0x0","0x0","0x0","0xb5","0xab","0x0","0x0","0x3","0x3","0x4","0x0"
"0x1e","0xba","0x62","0x56","0x25","10","0","0x0","0x0","0x0","0xab","0x0","0x0","0x0","0x0","0x0","0x4","0x0"
"0x1f","0xba","0x62","0x56","0x1d","6","2","0x0","0x0","0x0","0xab","0xb5","0x0","0x0","0x3","0x0","0x4","0x0"
"0x20","0xb7","0x5f","0x56","0x85","17","3","0x0","0x0","0x0","0xb3","0x0","0x0","0x0","0x0","0x3","0x4","0x0"
"0x21","0xb7","0x5f","0x56","0x85","81","1","0x0","0x0","0x0","0xb3","0x0","0x0","0x0","0x0","0x3","0x4","0x0"
"0x22","0xbb","0x63","0x56","0x8d","72","0","0x0","0x0","0x0","0x1e","0x0","0x0","0x0","0x0","0x3","0x4","0x0"
"0x23","0xb7","0x5f","0x56","0x85","15","1","0x0","0x0","0x0","0xb3","0x0","0x0","0x0","0x0","0x3","0x4","0x0"
"0x24","0xb9","0x61","0x56","0x35","9","1","0x0","0x0","0x0","0xab","0xac","0x0","0x0","0x0","0x3","0x4","0x0"
"0x25","0xb7","0x5f","0x56","0x85","22","5","0x0","0x0","0x0","0xb3","0x0","0x0","0x0","0x0","0x3","0x4","0x0"
"0x26","0xbb","0x63","0x56","0x8d","136","3","0x0","0x0","0x0","0x16","0x0","0x0","0x0","0x2","0x3","0x4","0x0"
"0x27","0xb9","0x61","0x56","0x2d","146","2","0x0","0x0","0x0","0xab","0xb5","0x0","0x0","0x0","0x3","0x4","0x0"
"0x28","0xbb","0x63","0x56","0x85","86","6","0x0","0x0","0x0","0x18","0x1c","0x0","0x0","0x0","0x3","0x4","0x0"
"0x29","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2a","0x1","0x2","0x1","0x38","141","3","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2b","0xf","0x1","0x1","0x38","142","3","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2c","0xb","0x1b","0x1","0x38","203","3","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2d","0x19","0x4b","0x1","0x38","12","4","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2e","0x1e","0x3c","0x1","0x38","14","4","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2f","0x2","0x7","0x1","0x38","138","3","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x30","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x31","0x1","0x2","0x1","0x38","146","2","0x0","0x2","0x88c8a48","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x32","0x2","0x7","0x1","0x38","210","2","0x0","0x3","0x88c8a58","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
