"0x8c0290","Character Reference Number","Starting Class","***UNKNOWN*** (Usually Zero)","Starting Level/Alliance","Co-ordinate","***UNKNOWN***","Reinforcement Placement?","Reinforcement Pointer?","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x1","0x2","0x0","0x50","0x350","0x0","0x0","0x0","0x9","0x6","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x1","0x2","0x7","0x0","0x50","0x30f","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x2","0x2","0x7","0x0","0x50","0x311","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x3","0x2","0x7","0x0","0x50","0x3d0","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x4","0x2","0x7","0x0","0x50","0x1c2","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x5","0x2","0x7","0x0","0x50","0x1c4","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x6","0x2","0x7","0x0","0x50","0x1c1","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x7","0x2","0x7","0x0","0x50","0x1c5","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x8","0x2","0x7","0x0","0x50","0x2ce","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x9","0x2","0x7","0x0","0x50","0x2d2","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xa","0x2","0x7","0x0","0x50","0x38f","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xb","0x2","0x7","0x0","0x50","0x391","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xc","0x2","0x7","0x0","0x50","0x34e","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xd","0x2","0x7","0x0","0x50","0x352","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xe","0x2","0x7","0x0","0x50","0x310","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xf","0x2","0x7","0x0","0x50","0x28d","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x10","0x2","0x7","0x0","0x50","0x293","0x0","0x0","0x0","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x11","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x12","0x57","0x2b","0x0","0x84","0x25c2","0x0","0x0","0x0","0x43","0x0","0x0","0x0","0x3","0x3","0x9","0x0"
"0x13","0x8d","0x9","0x0","0x95","0x8a","0x0","0x0","0x0","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x14","0x8d","0x9","0x0","0x95","0xca","0x0","0x0","0x0","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x15","0x8d","0x13","0x0","0x95","0xcc","0x0","0x0","0x0","0x3","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x16","0x8d","0x13","0x0","0x95","0x8e","0x0","0x0","0x0","0x3","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x17","0x8d","0x19","0x0","0x8d","0xcf","0x0","0x0","0x0","0x2e","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x18","0x8d","0x19","0x0","0x8d","0xd2","0x0","0x0","0x0","0x2e","0x5f","0x0","0x0","0x0","0x0","0x9","0x0"
"0x19","0x8d","0xf","0x0","0x95","0x408","0x0","0x0","0x0","0x3","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x1a","0x8d","0xf","0x0","0x95","0x409","0x0","0x0","0x0","0x3","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x1b","0x8d","0x2f","0x0","0x2d","0x488","0x0","0x0","0x0","0x46","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x1c","0x8d","0x2f","0x0","0x2d","0x489","0x0","0x0","0x0","0x46","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x1d","0x8d","0xb","0x0","0x25","0x2508","0x0","0x0","0x0","0x19","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x1e","0x8d","0xb","0x0","0x2d","0x509","0x0","0x0","0x0","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x1f","0x8d","0x11","0x0","0x2d","0x25cf","0x0","0x0","0x0","0xb","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x20","0x8d","0x15","0x0","0x25","0x5ce","0x0","0x0","0x0","0x3","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x21","0x8d","0x15","0x0","0x25","0x5d0","0x0","0x0","0x0","0x3","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x22","0x8d","0x3f","0x0","0x8d","0x515","0x0","0x0","0x0","0x1f","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x23","0x8d","0x3f","0x0","0x8d","0x516","0x0","0x0","0x0","0x1f","0x28","0x0","0x0","0x0","0x0","0x9","0x0"
"0x24","0x8d","0x40","0x0","0x2d","0xd8","0x0","0x0","0x0","0x20","0x28","0x0","0x0","0x0","0x0","0x9","0x0"
"0x25","0x8d","0x40","0x0","0x2d","0x118","0x0","0x0","0x0","0x20","0x2e","0x0","0x0","0x0","0x0","0x9","0x0"
"0x26","0x8d","0x11","0x0","0x2d","0xda","0x0","0x0","0x0","0x6","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x27","0x8d","0x11","0x0","0x2d","0x11a","0x0","0x0","0x0","0x6","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x28","0x8d","0x1b","0x0","0x2d","0x20db","0x0","0x0","0x0","0x32","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x29","0x8d","0x1b","0x0","0x2d","0x11b","0x0","0x0","0x0","0x2f","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x2a","0x8d","0x2f","0x0","0x35","0x597","0x0","0x0","0x0","0x47","0x0","0x0","0x0","0x0","0x12","0x9","0x0"
"0x2b","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2c","0xc8","0x7a","0x1","0x8a","0x290","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x6","0x3","0x0","0x20"
"0x2d","0xcd","0xb","0xc8","0xb","0x28f","0x0","0x0","0x0","0x21","0x7","0x0","0x0","0x3","0x3","0x0","0x20"
"0x2e","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2f","0xcd","0x9","0x0","0x2b","0x349","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x3","0x0","0x0"
"0x30","0xcd","0x9","0x0","0x2b","0x308","0x0","0x0","0x0","0x14","0x6c","0x0","0x0","0x0","0x3","0x0","0x0"
"0x31","0xcd","0x9","0x0","0x2b","0x357","0x0","0x0","0x0","0x14","0x6c","0x0","0x0","0x0","0x3","0x0","0x0"
"0x32","0xcd","0x9","0x0","0x2b","0x318","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x3","0x0","0x0"
"0x33","0xcd","0x9","0x0","0x23","0x41a","0x0","0x0","0x0","0x14","0x6c","0x0","0x0","0x0","0x3","0x0","0x0"
"0x34","0xcd","0x9","0x0","0x23","0x41b","0x0","0x0","0x0","0x14","0x6c","0x0","0x0","0x0","0x3","0x0","0x0"
"0x35","0xcd","0x9","0x0","0x2b","0x1c7","0x0","0x0","0x0","0x14","0x6c","0x0","0x0","0x0","0x3","0x0","0x0"
"0x36","0xcd","0x9","0x0","0x2b","0x1c8","0x0","0x0","0x0","0x14","0x6c","0x0","0x0","0x0","0x3","0x0","0x0"
"0x37","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x38","0x8d","0xd","0x0","0x95","0x440","0x0","0x0","0x0","0x8","0x6b","0x0","0x0","0x0","0x5","0x9","0x0"
"0x39","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3a","0x8d","0xd","0x0","0x95","0x59c","0x0","0x0","0x0","0x8","0x6b","0x0","0x0","0x0","0x5","0x9","0x0"
"0x3b","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3c","0x8d","0x40","0x0","0x35","0x1c","0x0","0x1","0x88c01b8","0x21","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x3d","0x8d","0x1b","0x0","0x2d","0x1c","0x0","0x1","0x88c01c0","0x2f","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x3e","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3f","0x8d","0x11","0x0","0x2d","0x1c","0x0","0x1","0x88c01c8","0x4","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
