"0x8b42cc","Character Reference Number","Starting Class","***UNKNOWN*** (Usually Zero)","Starting Level/Alliance","X Co-ordinate","Y Co-ordinate","***UNKNOWN***","Reinforcement Placement?","Reinforcement Pointer?","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x1","0x2","0x0","0x8","1","0","0x0","0x1","0x88b4244","0x9","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1","0x2","0x7","0x0","0x8","0","0","0x0","0x1","0x88b424c","0x1","0x17","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x2","0x4","0x5","0x0","0x8","1","0","0x0","0x1","0x88b4254","0x1","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3","0x3","0x9","0x0","0x28","0","0","0x0","0x1","0x88b425c","0x14","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4","0x5","0x45","0x0","0x18","1","0","0x0","0x1","0x88b4264","0x4b","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6","0x8e","0x41","0x0","0x1d","137","3","0x0","0x1","0x88b426c","0x1f","0x0","0x0","0x0","0x0","0x11","0x9","0x0"
"0x7","0x8e","0x19","0x0","0xd","206","1","0x0","0x1","0x88b4274","0x2d","0x0","0x0","0x0","0x0","0x12","0x9","0x0"
"0x8","0x47","0x41","0x0","0x24","14","2","0x0","0x1","0x88b427c","0x1f","0x0","0x0","0x0","0x0","0x4","0x9","0x0"
"0x9","0x8e","0x41","0x0","0x1d","134","34","0x0","0x1","0x88b4284","0x1f","0x6c","0x0","0x0","0x0","0x12","0x9","0x0"
"0xa","0x8e","0x41","0x0","0x1d","135","3","0x0","0x1","0x88b428c","0x1f","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0xb","0x8e","0x41","0x0","0x15","206","1","0x0","0x1","0x88b4294","0x1f","0x0","0x0","0x0","0x0","0x11","0x9","0x0"
"0xc","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd","0x6","0x48","0x0","0x8","0","0","0x0","0x0","0x0","0x15","0x1c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xe","0x5","0x45","0x0","0x18","0","0","0x0","0x0","0x0","0x4b","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0xf","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x10","0x6","0x48","0x0","0x8","64","0","0x0","0x1","0x88b429c","0x15","0x1c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x11","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x12","0x7","0x3d","0x0","0xa","139","0","0x0","0x1","0x88b42a4","0x2c","0x6c","0x0","0x0","0x0","0xa","0x0","0x0"
"0x13","0xa","0x3f","0x0","0x22","139","0","0x0","0x1","0x88b42ac","0x1f","0x28","0x6c","0x0","0x0","0x3","0x0","0x0"
"0x14","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x15","0x8e","0x41","0x0","0x15","64","2","0x0","0x1","0x88b42b4","0x1f","0x0","0x0","0x0","0x0","0x4","0x9","0x0"
"0x16","0x8e","0x41","0x0","0x1d","64","2","0x0","0x1","0x88b42bc","0x1f","0x0","0x0","0x0","0x0","0x4","0x9","0x0"
"0x17","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x18","0x48","0x41","0x0","0x35","14","2","0x0","0x1","0x88b42c4","0x20","0x0","0x0","0x0","0x0","0x4","0x9","0x0"
"0x19","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
