"0x8b4574","Character Reference Number","Starting Class","***UNKNOWN*** (Usually Zero)","Starting Level/Alliance","X Co-ordinate","Y Co-ordinate","***UNKNOWN***","Reinforcement Placement?","Reinforcement Pointer?","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x1","0x2","0x0","0x8","192","2","0x0","0x1","0x88b44d4","0x9","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x1","0x5","0x45","0x0","0x8","0","3","0x0","0x1","0x88b44dc","0x4b","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2","0x7","0x3d","0x0","0x8","128","2","0x0","0x1","0x88b44e4","0x2c","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3","0x6","0x48","0x0","0x10","0","3","0x0","0x1","0x88b44ec","0x15","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4","0x3","0x9","0x0","0x28","128","2","0x0","0x1","0x88b44f4","0x14","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5","0x4","0x5","0x0","0x8","192","2","0x0","0x1","0x88b44fc","0x1","0x14","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6","0x8","0x1a","0x0","0x8","128","2","0x0","0x1","0x88b4504","0x2d","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7","0x2","0x7","0x0","0x8","0","3","0x0","0x1","0x88b450c","0x3","0x17","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x8","0xa","0x3f","0x0","0x20","128","2","0x0","0x1","0x88b4514","0x1f","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa","0x48","0x41","0x0","0x34","78","0","0x0","0x1","0x88b451c","0x20","0x28","0x0","0x0","0x3","0x3","0x9","0x20"
"0xb","0x8e","0x41","0x0","0x1d","135","0","0x0","0x1","0x88b4524","0x1f","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0xc","0x8e","0x41","0x0","0x1d","9","2","0x0","0x1","0x88b452c","0x28","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0xd","0x8e","0xf","0x0","0x15","143","0","0x0","0x1","0x88b4534","0x1","0x6f","0x0","0x0","0x0","0x3","0x9","0x0"
"0xe","0x8e","0x19","0x0","0x25","76","2","0x0","0x1","0x88b453c","0x2d","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0xf","0x8e","0x41","0x0","0x1d","142","1","0x0","0x1","0x88b4544","0x20","0x6e","0x0","0x0","0x0","0x3","0x9","0x0"
"0x10","0x8e","0xd","0x0","0x1d","201","2","0x0","0x1","0x88b454c","0x1","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x11","0x8e","0x41","0x0","0x25","206","2","0x0","0x1","0x88b4554","0x28","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x12","0x8e","0x41","0x0","0x1d","69","34","0x0","0x1","0x88b455c","0x1f","0x6a","0x0","0x0","0x0","0x3","0x9","0x0"
"0x13","0x8e","0x41","0x0","0x1d","199","34","0x0","0x1","0x88b4564","0x1f","0x69","0x0","0x0","0x0","0x3","0x9","0x0"
"0x14","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x15","0x9","0xd","0x0","0x12","64","1","0x0","0x1","0x88b456c","0x1","0x6b","0x6c","0x0","0x6","0x5","0x8","0x0"
"0x16","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
