"0x8b61a8","Character Reference Number","Starting Class","***UNKNOWN*** (Usually Zero)","Starting Level/Alliance","X Co-ordinate","Y Co-ordinate","***UNKNOWN***","Reinforcement Placement?","Reinforcement Pointer?","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x80","0x4e","0x0","0x3d","78","2","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x3","0x0","0x0"
"0x1","0x80","0x4e","0x0","0x3d","207","1","0x0","0x0","0x0","0x1c","0x14","0x0","0x0","0x0","0x3","0x0","0x0"
"0x2","0x80","0x3f","0x0","0x35","80","2","0x0","0x0","0x0","0x22","0x0","0x0","0x0","0x0","0x3","0x0","0x0"
"0x3","0x80","0x25","0x0","0x35","82","1","0x0","0x0","0x0","0x39","0x0","0x0","0x0","0x0","0x3","0x0","0x0"
"0x4","0x80","0x4e","0x0","0x35","206","2","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x3","0x0","0x0"
"0x5","0x80","0xf","0x0","0x35","142","3","0x0","0x0","0x0","0x1","0x0","0x0","0x0","0x0","0x3","0x0","0x0"
"0x6","0x80","0x9","0x0","0x35","16","3","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x3","0x0","0x0"
"0x7","0x80","0x9","0x0","0x35","80","3","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x3","0x0","0x0"
"0x8","0x80","0x45","0x0","0x35","82","2","0x0","0x0","0x0","0x4c","0x0","0x0","0x0","0x0","0x3","0x0","0x0"
"0x9","0x80","0x2d","0x0","0x35","146","3","0x0","0x0","0x0","0x45","0x0","0x0","0x0","0x0","0x3","0x0","0x0"
"0xa","0x80","0x3f","0x0","0x35","207","3","0x0","0x0","0x0","0x20","0x0","0x0","0x0","0x0","0x3","0x0","0x0"
"0xb","0x80","0xf","0x0","0x35","143","34","0x0","0x0","0x0","0x5","0x0","0x0","0x0","0x0","0x3","0x0","0x0"
"0xc","0x7f","0x5","0x0","0x3d","72","0","0x0","0x0","0x0","0x5","0x0","0x0","0x0","0x0","0x12","0x0","0x0"
"0xd","0x80","0x5","0x0","0x35","71","0","0x0","0x0","0x0","0x1","0x0","0x0","0x0","0x0","0x12","0x0","0x0"
"0xe","0x80","0x5","0x0","0x35","11","0","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x12","0x0","0x0"
"0xf","0x80","0x4b","0x0","0x35","10","32","0x0","0x0","0x0","0x4c","0x6d","0x0","0x0","0x0","0x12","0x0","0x0"
"0x10","0xb0","0x58","0x0","0xd","27","1","0x0","0x0","0x0","0xaf","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x11","0x4b","0x2d","0x0","0x54","84","1","0x0","0x0","0x0","0x45","0x0","0x0","0x0","0x3","0x3","0x0","0x0"
"0x12","0x80","0x19","0x0","0x35","12","1","0x0","0x0","0x0","0x2d","0x0","0x0","0x0","0x0","0x3","0x0","0x0"
"0x13","0xf9","0x6e","0x0","0xb","26","3","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x6","0x3","0x0","0x0"
"0x14","0xfa","0x71","0x0","0xb","89","3","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x6","0x3","0x60","0x0"
"0x15","0xfb","0x72","0x0","0xb","25","3","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x6","0x3","0x0","0x0"
"0x16","0x80","0x4e","0x0","0x3d","14","4","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x17","0x80","0x4e","0x0","0x3d","212","1","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x3","0x0","0x0"
"0x18","0x80","0x9","0x0","0x35","85","3","0x0","0x0","0x0","0x1b","0x1c","0x0","0x0","0x0","0x3","0x0","0x0"
"0x19","0x80","0x4e","0x0","0x3d","83","3","0x0","0x0","0x0","0x14","0x0","0x0","0x0","0x0","0x3","0x0","0x0"
"0x1a","0x80","0x3f","0x0","0x2d","141","33","0x0","0x0","0x0","0x1f","0x25","0x0","0x0","0x0","0x3","0x0","0x0"
"0x1b","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1c","0x1","0x2","0x0","0x40","5","3","0x0","0x0","0x0","0x9","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1d","0x2","0x7","0x0","0x8","133","3","0x0","0x0","0x0","0x1","0x14","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1e","0x3","0x9","0x0","0x50","198","2","0x0","0x0","0x0","0x16","0x1b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1f","0x4","0x5","0x0","0x50","133","2","0x0","0x0","0x0","0x16","0x1","0x0","0x0","0x0","0x0","0x0","0x0"
"0x20","0x5","0x45","0x0","0x50","131","2","0x0","0x0","0x0","0x4c","0x4e","0x0","0x0","0x0","0x0","0x0","0x0"
"0x21","0x6","0x48","0x0","0x50","2","3","0x0","0x0","0x0","0x15","0x1c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x22","0x8","0x1a","0x0","0x50","70","3","0x0","0x0","0x0","0x2e","0x33","0x0","0x0","0x0","0x0","0x0","0x0"
"0x23","0x7","0x3d","0x0","0x50","67","3","0x0","0x0","0x0","0x2c","0x2a","0x0","0x0","0x0","0x0","0x0","0x0"
"0x24","0xa","0x3f","0x0","0x40","4","2","0x0","0x0","0x0","0x2c","0x24","0x0","0x0","0x0","0x0","0x0","0x0"
"0x25","0x9","0xd","0x1","0x8","196","3","0x0","0x0","0x0","0x1","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x26","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x27","0x2","0x7","0x0","0x8","2","0","0x0","0x5","0x88b6148","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x28","0x1","0x2","0x0","0x8","2","0","0x0","0x4","0x88b6170","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x29","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2a","0x80","0x5","0x0","0x3d","192","2","0x0","0x1","0x88b6190","0x14","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x2b","0x80","0x5","0x0","0x35","64","2","0x0","0x1","0x88b6198","0x1","0x1c","0x0","0x0","0x0","0x0","0x1","0x0"
"0x2c","0x80","0x5","0x0","0x35","64","3","0x0","0x1","0x88b61a0","0x1c","0x14","0x0","0x0","0x0","0x0","0x1","0x0"
"0x2d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2e","0x2","0x7","0x0","0x50","12","3","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x2f","0x2","0x7","0x0","0x50","203","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x30","0x2","0x7","0x0","0x50","140","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x31","0x2","0x7","0x0","0x50","205","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x32","0x2","0x7","0x0","0x50","14","3","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x33","0x2","0x7","0x0","0x50","77","3","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x34","0x2","0x7","0x0","0x50","140","3","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x35","0x2","0x7","0x0","0x50","75","3","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x36","0x2","0x7","0x0","0x50","10","3","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x37","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x38","0x5f","0x5f","0x0","0x4d","77","0","0x0","0x0","0x0","0xb3","0x0","0x0","0x0","0x3","0x3","0xc","0x0"
"0x39","0xb7","0x5f","0x0","0x45","140","0","0x0","0x0","0x0","0xb3","0x0","0x0","0x0","0x3","0x3","0xc","0x0"
