"0x8c1f44","Character Reference Number","Starting Class","***UNKNOWN*** (Usually Zero)","Starting Level/Alliance","X Co-ordinate","Y Co-ordinate","***UNKNOWN***","Reinforcement Placement?","Reinforcement Pointer?","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0xf","0x1","0x0","0x8","10","4","0x0","0x1","0x88c1ed4","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1","0x1","0x2","0x0","0x8","12","4","0x0","0x1","0x88c1edc","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3","0x19","0x4b","0x0","0x8","202","4","0x0","0x1","0x88c1ee4","0x4c","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x4","0x2","0x7","0x0","0x8","204","4","0x0","0x1","0x88c1eec","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x5","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6","0x2","0x7","0x0","0x8","203","4","0x0","0x1","0x88c1ef4","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x7","0x2","0x7","0x0","0x8","201","4","0x0","0x1","0x88c1efc","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x8","0x2","0x7","0x0","0x8","205","4","0x0","0x1","0x88c1f04","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x9","0x2","0x7","0x0","0x8","202","4","0x0","0x1","0x88c1f0c","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xa","0x2","0x7","0x0","0x8","204","4","0x0","0x1","0x88c1f14","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xb","0x2","0x7","0x0","0x8","203","4","0x0","0x1","0x88c1f1c","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xc","0x2","0x7","0x0","0x8","201","4","0x0","0x1","0x88c1f24","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xd","0x2","0x7","0x0","0x8","205","4","0x0","0x1","0x88c1f2c","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xe","0x2","0x7","0x0","0x8","202","4","0x0","0x1","0x88c1f34","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0xf","0x2","0x7","0x0","0x8","204","4","0x0","0x1","0x88c1f3c","0x17","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x10","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x11","0xbe","0x66","0x0","0xa5","139","1","0x0","0x0","0x0","0xa8","0xa9","0xa6","0x0","0x14","0x3","0x9","0x0"
"0x12","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
