"0x8b3d18","Character Reference Number","Starting Class","***UNKNOWN*** (Usually Zero)","Starting Level/Alliance","X Co-ordinate","Y Co-ordinate","***UNKNOWN***","Reinforcement Placement?","Reinforcement Pointer?","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0xc5","0x73","0x0","0x8","205","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1","0x1","0x2","0x0","0x8","14","1","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2","0x2","0x7","0x0","0x8","15","1","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3","0x5","0xb","0x0","0x8","203","1","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4","0x6","0xb","0x0","0x8","207","1","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5","0x3","0x9","0x0","0x8","135","3","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6","0xc0","0x9","0x0","0x8","138","3","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7","0x4","0x5","0x0","0x8","11","1","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9","0xf","0x4e","0x0","0x8","201","3","0x0","0x3","0x88b3ca0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb","0x6b","0xb","0x0","0xc","141","2","0x0","0x1","0x88b3cb8","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc","0x40","0x4f","0x0","0xc","204","2","0x0","0x1","0x88b3cc0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xe","0x80","0x2d","0x0","0xc","69","0","0x0","0x1","0x88b3cc8","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xf","0x80","0x2d","0x0","0xc","133","0","0x0","0x1","0x88b3cd0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x10","0x80","0x2f","0x0","0xd","147","2","0x0","0x1","0x88b3cd8","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x11","0x80","0x2f","0x0","0xd","148","2","0x0","0x1","0x88b3ce0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x12","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x13","0x83","0x35","0x0","0xc","138","2","0x0","0x1","0x88b3ce8","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x14","0x83","0x35","0x0","0xc","144","2","0x0","0x1","0x88b3cf0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x15","0x84","0x7","0x0","0xc","138","2","0x0","0x1","0x88b3cf8","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x16","0x84","0x7","0x0","0xc","144","2","0x0","0x1","0x88b3d00","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x17","0x85","0x29","0x0","0xc","138","2","0x0","0x1","0x88b3d08","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x18","0x85","0x29","0x0","0xc","144","2","0x0","0x1","0x88b3d10","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x19","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
