"0x8cec84","Character Reference Number","Starting Class","***UNKNOWN*** (Usually Zero)","Starting Level/Alliance","X Co-ordinate","Y Co-ordinate","***UNKNOWN***","Reinforcement Placement?","Reinforcement Pointer?","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x00 Ruins 7","0x2","0x7","0x0","0x50","12","2","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x01","0x2","0x7","0x0","0x50","12","3","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x02","0x2","0x7","0x0","0x50","141","3","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x03","0x2","0x7","0x0","0x50","147","3","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x04","0x2","0x7","0x0","0x50","136","1","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x05","0x2","0x7","0x0","0x50","139","1","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x06","0x2","0x7","0x0","0x50","144","3","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x07","0x2","0x7","0x0","0x50","133","1","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x08","0x2","0x7","0x0","0x50","194","5","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x09","0x2","0x7","0x0","0x50","3","6","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x0A","0x2","0x7","0x0","0x50","5","6","0x0","0x0","0x0","0x17","0x4","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x0B","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x0C","0x5f","0x61","0x0","0xa5","23","38","0x0","0x0","0x0","0xab","0xb5","0xba","0x0","0x3","0x3","0xc","0x0"
"0x0D","0xb9","0x61","0x0","0x9d","21","6","0x0","0x0","0x0","0xab","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x0E","0xb9","0x61","0x0","0x9d","151","5","0x0","0x0","0x0","0xab","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x0F","0xb9","0x61","0x0","0x9d","215","0","0x0","0x0","0x0","0xab","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x10","0xb9","0x61","0x0","0x9d","145","1","0x0","0x0","0x0","0xb5","0xab","0x0","0x0","0x0","0x3","0xc","0x0"
"0x11","0xaf","0x57","0x0","0x9d","210","65","0x0","0x0","0x0","0x2e","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x12","0xaf","0x57","0x0","0x9d","82","2","0x0","0x0","0x0","0x2e","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x13","0xaf","0x57","0x0","0x9d","16","5","0x0","0x0","0x0","0x34","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x14","0xaf","0x57","0x0","0x9d","212","5","0x0","0x0","0x0","0x34","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x15","0xae","0x56","0x0","0x9d","147","4","0x0","0x0","0x0","0x1d","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x16","0xb8","0x10","0x0","0x9d","145","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x17","0xb8","0x10","0x0","0x9d","141","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0x18","0xb9","0x17","0x0","0x9d","138","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
