"0x8d1d10","Character Reference Number","Starting Class","***UNKNOWN*** (Usually Zero)","Starting Level/Alliance","X Co-ordinate","Y Co-ordinate","***UNKNOWN***","Reinforcement Placement?","Reinforcement Pointer?","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x0","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2","0x1","0x2","0x0","0x8","140","2","0x0","0x2","0x88d1ce0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3","0xf","0x1","0x0","0x8","142","2","0x0","0x1","0x88d1cf0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5","0xf","0x1","0x0","0x8","140","2","0x0","0x2","0x88d1cf8","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6","0x1","0x2","0x0","0x8","142","2","0x0","0x1","0x88d1d08","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9","0x29","0x11","0x0","0x60","75","3","0x0","0x0","0x0","0x21","0x29","0x7c","0x0","0x0","0x0","0x0","0x0"
"0xa","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb","0x25","0x21","0x0","0x60","139","1","0x0","0x0","0x0","0x17","0x4","0x75","0x0","0x0","0x0","0x0","0x0"
