"0x9e8bac","Type?","##UNKNOWN##","UNKNOWN","##UNKNOWN##","Content/Last Pointer Piece","Rest of Pointer (if any)","X Coordinate","Y Coordinate","Type","##UNKNOWN##"
"0x0","0xa","0x0","0x0","0x0","0xd8","0x89ed7","0x2","0x1","0x16","0x0"
"0x1","0xa","0x0","0x0","0x0","0xee","0x89ed7","0x6","0xa","0x17","0x0"
"0x2","0x6","0x0","0x8","0x0","0x70","0x89f21","0xc","0xa","0x10","0x0"
"0x3","0x5","0x0","0x8","0x0","0x1","0x0","0xc","0x9","0x20","0x0"
"0x4","0x6","0x0","0x9","0x0","0xbc","0x89f21","0xc","0x13","0x10","0x0"
"0x5","0x5","0x0","0x9","0x0","0x1","0x0","0xc","0x12","0x20","0x0"
"0x6","0x6","0x0","0xa","0x0","0xf8","0x89f21","0x5","0x6","0x10","0x0"
"0x7","0x5","0x0","0xa","0x0","0x1","0x0","0x5","0x5","0x20","0x0"
"0x8","0x6","0x0","0xb","0x0","0x34","0x89f22","0x5","0x1","0x10","0x0"
"0x9","0x5","0x0","0xb","0x0","0x1","0x0","0x5","0x0","0x20","0x0"
