INLINE PrepScreenUsabilityTable 0xA4 0x5B,Item Usability Pointer
AngelicRobe,0x802a0d0
EnergyRing,0x802a0d0
SecretBook,0x802a0d0
Speedwings,0x802a0d0
GoddessIcon,0x802a0d0
DragonShield,0x802a0d0
Talisman,0x802a0d0
Boots,0x802a0d0
BodyRing,0x802a0d0
HeroCrest,0x802a0da
KnightCrest,0x802a0da
OrionBolt,0x802a0da
ElysianWhip,0x802a0da
GuidingRing,0x802a0da
ChestKey,0x802a100
DoorKey,0x802a100
Lockpick,0x802a100
Vulnerary,0x802a100
Elixir,0x802a100
PureWater,0x802a100
Antitoxin,0x802a100
Torch,0x802a100
DelphiShield,0x802a100
MemberCard,0x802a100
SilverCard,0x802a100
WhiteGem,0x802a100
BlueGem,0x802a100
RedGem,0x802a100
Gold,0x802a100
Reginleif,0x802a100
ChestKey_5,0x802a100
Mine,0x802a100
LightRune,0x802a100
HoplonShield,0x802a100
FillasMight,0x802a100
NinissGrace,0x802a100
ThorsIre,0x802a100
SetsLitany,0x802a100
ShadowKiller,0x802a100
BrightLance,0x802a100
FiendCleaver,0x802a100
BeaconBow,0x802a100
Sieglind,0x802a100
BattleAxe,0x802a100
Ivaldi,0x802a100
MasterSeal,0x802a0da
MetissTome,0x802a0e4
HeavenSeal,0x802a0da
SharpClaw,0x802a100
Latona,0x802a100
Dragonspear,0x802a100
Vidofnir,0x802a100
Naglfal,0x802a100
WretchedAir,0x802a100
Audhulma,0x802a100
Siegmund,0x802a100
Garm,0x802a100
Nidhogg,0x802a100
HeavySpear,0x802a100
ShortSpear,0x802a100
OceanSeal,0x802a0da
MoonBracelet,0x802a0da
SunBracelet,0x802a0da
_1G,0x802a100
_5G,0x802a100
_10G,0x802a100
_50G,0x802a100
_100G,0x802a100
_3000G,0x802a100
_5000G,0x802a100
WindSword,0x802a100
ArmsScroll,0x802a100
0xA3 Vulnerary (green note),0x802a100
0xA4 Vulnerary (red note),0x802a100
0xA5 Dance,0x802a100
0xA6 ightmare,0x802a100
0xA7 Demon Stone,0x802a100
0xA8 Demon Light,0x802a100
0xA9 Ravager,0x802a100
DragonStone,0x802a100
DemonSurge,0x802a100
Shadowshot,0x802a100
RottenClaw,0x802a100
FetidClaw,0x802a100
PoisonClaw,0x802a100
LethalTalon,0x802a100
FireFang,0x802a100
HellFang,0x802a100
EvilEye,0x802a100
CrimsonEye,0x802a100
Stone,0x802a100
JunaFruit,0x802a100
_150G,0x802a0f4
_200G,0x802a100
BlackGem,0x802a100
GoldGem,0x802a100
Aqua,0x802a100
Arcthunder,0x802a100
Bolagnone,0x802a100
Arcwind,0x802a100
Dasher,0x802a100
Ragnorak,0x802a100
Elwind,0x802a100
Thoron,0x802a100
Tornado,0x802a100
Wind,0x802a100
Dulam,0x802a100
Slime,0x802a100
Swarm,0x802a100
Worm,0x802a100
Artimes,0x802a100
Thani,0x802a100
Exordium,0x802a100
Starlight,0x802a100
DevilSword,0x802a100
DevilLance,0x802a100
DevilBow,0x802a100
Flare,0x802a100
SteelLongbow,0x802a100
SilverLongbow,0x802a100
SteelShortbow,0x802a100
SilverShortbow,0x802a100
Elthunder,0x802a100
Arcfire,0x802a100
Lanceslayer,0x802a100
Axeslayer,0x802a100
Elaqua,0x802a100
Arcaqua,0x802a100
Meteor,0x802a100
Hail,0x802a100
ToxinSword,0x802a100
ToxinLance,0x802a100
ToxinAxe,0x802a100
ToxinBow,0x802a100
SpiritDust,0x802a100
DoorKey_5,0x802a100
Tempest,0x802a100
