INLINE ItemUsabilityTable 0xB4 0x4B,Item Usability Pointer
Heal,0x8028a8c
Mend,0x8028a8c
Recover,0x8028a8c
Physic,0x8028a9c
Fortify,0x8028aac
Restore,0x8028abc
Silence,0x8028aec
Sleep,0x8028afc
Berserk,0x8028b0c
Warp,0x8028b1c
Rescue,0x8028acc
Torch,0x8028bc8
Hammerne,0x8028b2c
Unlock,0x8028b3c
Barrier,0x8028adc
DragonAxe,0x8028c04
AngelicRobe,0x8028b4c
EnergyRing,0x8028b4c
SecretBook,0x8028b4c
Speedwings,0x8028b4c
GoddessIcon,0x8028b4c
DragonShield,0x8028b4c
Talisman,0x8028b4c
Boots,0x8028b4c
BodyRing,0x8028b4c
HeroCrest,0x8028b56
KnightCrest,0x8028b56
OrionBolt,0x8028b56
ElysianWhip,0x8028b56
GuidingRing,0x8028b56
ChestKey,0x8028b80
DoorKey,0x8028b88
Lockpick,0x8028b90
Vulnerary,0x8028b60
Elixir,0x8028b60
PureWater,0x8028b68
Antitoxin,0x8028b78
Torch,0x8028b70
DelphiShield,0x8028c04
MemberCard,0x8028c04
SilverCard,0x8028c04
WhiteGem,0x8028c04
BlueGem,0x8028c04
RedGem,0x8028c04
Gold,0x8028c04
Reginleif,0x8028c04
ChestKey_5,0x8028b80
Mine,0x8028ba8
LightRune,0x8028bb8
HoplonShield,0x8028c04
FillasMight,0x8028bd8
NinissGrace,0x8028bd8
ThorsIre,0x8028bd8
SetsLitany,0x8028bd8
ShadowKiller,0x8028c04
BrightLance,0x8028c04
FiendCleaver,0x8028c04
BeaconBow,0x8028c04
Sieglind,0x8028c04
BattleAxe,0x8028c04
Ivaldi,0x8028c04
MasterSeal,0x8028b56
MetissTome,0x8028be8
HeavenSeal,0x8028b56
SharpClaw,0x8028c04
Latona,0x8028b98
Dragonspear,0x8028c04
Vidofnir,0x8028c04
Naglfal,0x8028c04
WretchedAir,0x8028c04
Audhulma,0x8028c04
Siegmund,0x8028c04
Garm,0x8028c04
Nidhogg,0x8028c04
HeavySpear,0x8028c04
ShortSpear,0x8028c04
OceanSeal,0x8028b56
MoonBracelet,0x8028b56
SunBracelet,0x8028b56
_1G,0x8028c04
_5G,0x8028c04
_10G,0x8028c04
_50G,0x8028c04
_100G,0x8028c04
_3000G,0x8028c04
_5000G,0x8028c04
WindSword,0x8028c04
ArmsScroll,0x8028b60
0xA3 Vulnerary (green note),0x8028c04
0xA4 Vulnerary (red note),0x8028c04
0xA5 Dance,0x8028c04
0xA6 ightmare,0x8028c04
0xA7 Demon Stone,0x8028c04
0xA8 Demon Light,0x8028c04
0xA9 Ravager,0x8028c04
DragonStone,0x8028c04
DemonSurge,0x8028c04
Shadowshot,0x8028c04
RottenClaw,0x8028c04
FetidClaw,0x8028c04
PoisonClaw,0x8028c04
LethalTalon,0x8028c04
FireFang,0x8028c04
HellFang,0x8028c04
EvilEye,0x8028c04
CrimsonEye,0x8028c04
Stone,0x8028c04
JunaFruit,0x8028c04
_150G,0x8028bf8
_200G,0x8028c04
BlackGem,0x8028c04
GoldGem,0x8028c04
Aqua,0x8028c04
Arcthunder,0x8028c04
Bolagnone,0x8028c04
Arcwind,0x8028c04
Dasher,0x8028c04
Ragnorak,0x8028c04
Elwind,0x8028b56
Thoron,0x8028c04
Tornado,0x8028c04
Wind,0x8028c04
Dulam,0x8028c04
Slime,0x8028c04
Swarm,0x8028c04
Worm,0x8028c04
Artimes,0x8028c04
Thani,0x8028c04
Exordium,0x8028c04
Starlight,0x8028c04
DevilSword,0x8028c04
DevilLance,0x8028c04
DevilBow,0x8028c04
Flare,0x8028c04
SteelLongbow,0x8028c04
SilverLongbow,0x8028c04
SteelShortbow,0x8028c04
SilverShortbow,0x8028c04
Elthunder,0x8028c04
Arcfire,0x8028c04
Lanceslayer,0x8028c04
Axeslayer,0x8028c04
Elaqua,0x8028c04
Arcaqua,0x8028c04
Meteor,0x8028c04
Hail,0x8028c04
ToxinSword,0x8028c04
ToxinLance,0x8028c04
ToxinAxe,0x8028c04
ToxinBow,0x8028c04
SpiritDust,0x8028c04
DoorKey_5,0x8028b88
Tempest,0x8028c04
