INLINE GenericMusicTable 0xFF,Player Phase,Enemy Phase
Prologue,0,0
,,
Military1,Knock_Em_Around,We_Stand
MilitaryAccept2,Knock_Em_Around,We_Stand
MilitaryAccept3,Knock_Em_Around,We_Stand
MilitaryAcceptHold4,Knock_Em_Around,We_Stand
MilitaryAcceptHold5,We_Can_Handle_Em,We_Will_Overcome
MilitaryAcceptHold6,We_Can_Handle_Em,We_Will_Overcome
MilitaryAcceptHold7,We_Can_Handle_Em,We_Will_Overcome
MilitaryAcceptRetreat4,Knock_Em_Around,We_Stand
MilitaryAcceptRetreatLeave5,We_Can_Handle_Em,We_Will_Overcome
MilitaryAcceptRetreatLeave6,We_Can_Handle_Em,We_Will_Overcome
MilitaryAcceptRetreatLeave7,We_Can_Handle_Em,We_Will_Overcome
MilitaryAcceptRetreatHelp5,We_Can_Handle_Em,We_Will_Overcome
MilitaryAcceptRetreatHelp6,We_Can_Handle_Em,We_Will_Overcome
MilitaryAcceptRetreatHelp7,We_Can_Handle_Em,We_Will_Overcome
MilitaryPass2,Knock_Em_Around,We_Stand
MilitaryPass3,Knock_Em_Around,We_Stand
MilitaryPass4,Knock_Em_Around,We_Stand
MilitaryPassHaedric5,We_Can_Handle_Em,We_Will_Overcome
MilitaryPassHaedric6,We_Can_Handle_Em,We_Will_Overcome
MilitaryPassHaedric7,We_Can_Handle_Em,We_Will_Overcome
MilitaryPassAltia5,We_Can_Handle_Em,We_Will_Overcome
MilitaryPassAltia6,We_Can_Handle_Em,We_Will_Overcome
MilitaryPassAltia7,We_Can_Handle_Em,We_Will_Overcome
,,
Mercenary1,Drop_Em,We_Will_Persevere
MercenaryMilitia2,Drop_Em,We_Will_Persevere
MercenaryMilitiaWait3,Drop_Em,We_Will_Persevere
MercenaryMilitiaWait4,Drop_Em,We_Will_Persevere
MercenaryMilitiaWaitArcanae5,Sock_It_to_Em,We_Wont_Give_In
MercenaryMilitiaWaitArcanae6,Sock_It_to_Em,We_Wont_Give_In
MercenaryMilitiaWaitArcanae7,Sock_It_to_Em,We_Wont_Give_In
MercenaryMilitiaWaitCesaria5,Sock_It_to_Em,We_Wont_Give_In
MercenaryMilitiaWaitCesaria6,Sock_It_to_Em,We_Wont_Give_In
MercenaryMilitiaWaitCesaria7,Sock_It_to_Em,We_Wont_Give_In
MercenaryMilitiaKill3,Drop_Em,We_Will_Persevere
MercenaryMilitiaKill4,Drop_Em,We_Will_Persevere
MercenaryMilitiaKill5,Sock_It_to_Em,We_Wont_Give_In
MercenaryMilitiaKill6,Sock_It_to_Em,We_Wont_Give_In
MercenaryMilitiaKill7,Sock_It_to_Em,We_Wont_Give_In
MercenaryBandit2,Drop_Em,We_Will_Persevere
MercenaryBandit3,Drop_Em,We_Will_Persevere
MercenaryBandit4,Drop_Em,We_Will_Persevere
MercenaryBanditBandit5,Sock_It_to_Em,We_Wont_Give_In
MercenaryBanditBandit6,Sock_It_to_Em,We_Wont_Give_In
MercenaryBanditBandit7,Sock_It_to_Em,We_Wont_Give_In
MercenaryBanditDisband5,Sock_It_to_Em,We_Wont_Give_In
MercenaryBanditDisband6,Sock_It_to_Em,We_Wont_Give_In
MercenaryBanditDisband7,Sock_It_to_Em,We_Wont_Give_In
MilitaryAcceptRetreatHelp6Grow2,Sock_It_to_Em,We_Wont_Give_In
MilitaryAcceptRetreatHelp6Grow3,Sock_It_to_Em,We_Wont_Give_In
,,
Mage1,Take_Em_Down,We_Strive
MageSearch2,Take_Em_Down,We_Strive
MageLeave2,Take_Em_Down,We_Strive
,,
ShizonShrineCutscene,0,0
LeavingShizonCutscene,0,0
LeavingUndergroundCutscene,0,0
OutsideTempleCutscene,0,0
MercenaryCampCutscene,0,0
MaximusUzkalisCutscene,0,0
HaedricCastleCutscene,0,0
KilthelCutscene,0,0
ArtifactDoorCutscene,0,0
BacrunRuins1Cutscene,0,0
BacrunRuins2Cutscene,0,0
KilthelFightCutscene,0,0
GuardianSpiritWallCutscene,0,0
AltianDungeonCutscene,0,0
HaedricCityCutscene,0,0
PortSelsingCutscene,0,0
KendrickShipCutscene,0,0
MistlainThroneCutscene,Take_Em_Down,We_Strive
,,
0x3A Link Arena,0,0
