INLINE ClassLevelUpSkillTable 0xFF,Skill Pointer
Cavalier,CavalierSkillList|IsPointer
Cavalier_F,CavalierSkillList|IsPointer
Paladin,PaladinSkillList|IsPointer
Paladin_F,PaladinSkillList|IsPointer
Knight,KnightSkillList|IsPointer
Knight_F,KnightSkillList|IsPointer
General,GeneralSkillList|IsPointer
General_F,GeneralSkillList|IsPointer
Thief,ThiefSkillList|IsPointer
0x0E Manakete,0x0
Mercenary,MercenarySkillList|IsPointer
Mercenary_F,MercenarySkillList|IsPointer
Hero,HeroSkillList|IsPointer
Hero_F,HeroSkillList|IsPointer
Myrmidon,MyrmidonSkillList|IsPointer
Myrmidon_F,MyrmidonSkillList|IsPointer
Swordmaster,SwordmasterSkillList|IsPointer
Swordmaster_F,SwordmasterSkillList|IsPointer
Assassin,AssassinSkillList|IsPointer
Assassin_F,AssassinSkillList|IsPointer
Archer,ArcherSkillList|IsPointer
Archer_F,ArcherSkillList|IsPointer
Sniper,SniperSkillList|IsPointer
Sniper_F,SniperSkillList|IsPointer
Ranger,RangerSkillList|IsPointer
Ranger_F,RangerSkillList|IsPointer
WyvernRider,WyvernRiderSkillList|IsPointer
WyvernRider_F,WyvernRiderSkillList|IsPointer
WyvernLord,WyvernLordSkillList|IsPointer
WyvernLord_F,WyvernLordSkillList|IsPointer
WyvernKnight,WyvernKnightSkillList|IsPointer
WyvernKnight_F,WyvernKnightSkillList|IsPointer
Mage,MageSkillList|IsPointer
Mage_F,MageSkillList|IsPointer
Sage,SageSkillList|IsPointer
Sage_F,SageSkillList|IsPointer
MageKnight,MageKnightSkillList|IsPointer
MageKnight_F,MageKnightSkillList|IsPointer
Bishop,BishopSkillList|IsPointer
Bishop_F,BishopSkillList|IsPointer
Shaman,ShamanSkillList|IsPointer
Shaman_F,ShamanSkillList|IsPointer
Druid,DruidSkillList|IsPointer
Druid_F,DruidSkillList|IsPointer
Summoner,SummonerSkillList|IsPointer
Summoner_F,SummonerSkillList|IsPointer
Rogue,RogueSkillList|IsPointer
GorgonEgg,0x0
GreatKnight,GreatKnightSkillList|IsPointer
GreatKnight_F,GreatKnightSkillList|IsPointer
Fighter,FighterSkillList|IsPointer
Warrior,WarriorSkillList|IsPointer
Brigand,BrigandSkillList|IsPointer
Pirate,PirateSkillList|IsPointer
Berserker,BerserkerSkillList|IsPointer
Monk,MonkSkillList|IsPointer
Priest,PriestSkillList|IsPointer
Bard,0x0
PegasusKnight,PegKnightSkillList|IsPointer
Falcoknight,FalcoknightSkillList|IsPointer
Cleric,ClericSkillList|IsPointer
