,Name,Description,Character Number,Default Class,Portrait,Mini Portrait,Affinity,,Base Level,Base HP,Base Pwr,Base Magic,Base Skl,Base Spd,Base Def,Base Res,Base Lck,Base Con,Sword Rank,Lance Rank,Axe Rank,Bow Rank,Staff Rank,Anima Rank,Light Rank,Dark Rank,HP Growth,Pwr Growth,Magic Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Lck Growth,Level Up Skill List,Personal Skill,,,Character Ability 1,Character Ability 2,Character Ability 3,Character Ability 4,Support Data Pointer,,,,CharacterTableUnknown10,CharacterTableUnknown35,CharacterTableUnknown48
0x00 None,0x0,0x19,0x1b,0x0,0x1d,0x1f,NoAff,,33,0,35,0,0,37,0,39,0,0,41,0,43,0,45,0,47,0,0,49,0,0,51,0,5,4,0,0x0,,,0x0,0x0,0x0,0x0,0x0,,,,0x0,0x0,0x0
PlayerMMonk,TactNameText,PlayerMageDescText,PlayerMMonk,MonkM2,MaleMageMug,0x0,LightAff,,1,4,3,3,4,3,1,4,3,2,0,0,0,0,0,0,Crank,0,65,20,40,45,45,15,60,60,PlayerMMonkSkillList|IsPointer,FirstAidID,,,0x0,IsLord,0x0,0x0,0x0,,,,0x0,0x0,0x0
PlayerMShaman,TactNameText,PlayerMageDescText,PlayerMShaman,ShamanM2,MaleMageMug,0x0,DarkAff,,1,6,3,4,2,2,2,4,2,3,0,0,0,0,0,0,0,Crank,70,30,45,35,35,25,40,30,PlayerMShamanSkillList|IsPointer,FirstAidID,,,0x0,IsLord,0x0,0x0,0x0,,,,0x0,0x0,0x0
PlayerMMage,TactNameText,PlayerMageDescText,PlayerMMage,MageM2,MaleMageMug,0x0,FireAff,,1,2,3,4,3,2,1,2,3,2,0,0,0,0,0,Crank,0,0,55,25,45,40,40,15,20,40,PlayerMMageSkillList|IsPointer,FirstAidID,,,0x0,IsLord,0x0,0x0,0x0,,,,0x0,0x0,0x0
PlayerFMonk,TactNameText,PlayerMageDescText,PlayerFMonk,MonkF2,FemaleMageMug,0x0,LightAff,,1,3,3,3,5,4,0,4,3,2,0,0,0,0,0,0,Crank,0,60,20,40,50,45,10,65,65,PlayerFMonkSkillList|IsPointer,FirstAidID,,,0x0,IsLord,0x0,0x0,0x0,,,,0x0,0x0,0x0
PlayerFShaman,TactNameText,PlayerMageDescText,PlayerFShaman,ShamanF2,FemaleMageMug,0x0,DarkAff,,1,5,3,4,3,3,2,4,3,2,0,0,0,0,0,0,0,Crank,65,30,45,40,35,20,45,35,PlayerFShamanSkillList|IsPointer,FirstAidID,,,0x0,IsLord,0x0,0x0,0x0,,,,0x0,0x0,0x0
PlayerFMage,TactNameText,PlayerMageDescText,PlayerFMage,MageF2,FemaleMageMug,0x0,ThunderAff,,1,2,3,4,4,3,1,3,3,1,0,0,0,0,0,Crank,0,0,50,25,45,45,40,10,25,45,PlayerFMageSkillList|IsPointer,FirstAidID,,,0x0,IsLord,0x0,0x0,0x0,,,,0x0,0x0,0x0
PlayerMSpellsword,TactNameText,PlayerMageDescText,PlayerMSpellsword,SpellswordM2,MaleMageMug,0x0,WindAff,,1,7,3,2,2,3,3,2,4,3,Crank,0,0,0,0,Erank,0,Erank,85,35,30,40,40,25,20,45,PlayerMSpellswordSkillList|IsPointer,FirstAidID,,,0x0,IsLord,0x0,0x0,0x0,,,,0x0,0x0,0x0
PlayerFSpellsword,TactNameText,PlayerMageDescText,PlayerFSpellsword,SpellswordF2,FemaleMageMug,0x0,WindAff,,1,6,2,2,3,3,2,3,4,2,Crank,0,0,0,0,Erank,0,Erank,80,35,30,45,40,20,30,45,PlayerFSpellswordSkillList|IsPointer,FirstAidID,,,0x0,IsLord,0x0,0x0,0x0,,,,0x0,0x0,0x0
PlayerMCavalier,TactNameText,PlayerMilitaryDescText,PlayerMCavalier,CavalierM2,MaleMilitaryMug,0x0,WindAff,,1,8,2,1,3,2,3,3,5,3,Drank,Crank,0,0,0,0,0,0,70,40,10,45,40,25,20,40,PlayerMCavalierSkillList|IsPointer,FirstAidID,,,0x0,IsLord,0x0,0x0,0x0,,,,0x0,0x0,0x0
PlayerMKnight,TactNameText,PlayerMilitaryDescText,PlayerMKnight,KnightM2,MaleMilitaryMug,0x0,AnimaAff,,1,7,4,2,2,2,3,1,4,1,0,Crank,0,0,0,0,0,0,110,40,20,35,30,45,20,55,PlayerMKnightSkillList|IsPointer,FirstAidID,,,0x0,IsLord,0x0,0x0,0x0,,,,0x0,0x0,0x0
PlayerMSoldier,TactNameText,PlayerMilitaryDescText,PlayerMSoldier,SoldierM2,MaleMilitaryMug,0x0,WaterAff,,1,5,4,1,4,7,5,4,5,1,0,Crank,0,0,0,0,0,0,75,40,10,45,40,30,25,40,PlayerMSoldierSkillList|IsPointer,FirstAidID,,,0x0,IsLord,0x0,0x0,0x0,,,,0x0,0x0,0x0
PlayerMWyvernRider,TactNameText,PlayerMilitaryDescText,PlayerMWyvernRider,WyvernRiderM2,MaleMilitaryMug,0x0,WindAff,,1,7,1,0,3,3,2,2,4,2,0,Crank,0,0,0,0,0,0,70,40,0,35,30,15,10,50,PlayerMWyvernRiderSkillList|IsPointer,FirstAidID,,,0x0,IsLord,0x0,0x0,0x0,,,,0x0,0x0,0x0
PlayerFCavalier,TactNameText,PlayerMilitaryDescText,PlayerFCavalier,CavalierF2,FemaleMilitaryMug,0x0,WindAff,,1,8,2,1,4,2,3,4,5,3,Drank,Crank,0,0,0,0,0,0,65,35,10,50,45,25,20,40,PlayerFCavalierSkillList|IsPointer,FirstAidID,,,0x0,IsLord,0x0,0x0,0x0,,,,0x0,0x0,0x0
PlayerFKnight,TactNameText,PlayerMilitaryDescText,PlayerFKnight,KnightF2,FemaleMilitaryMug,0x0,AnimaAff,,1,7,3,0,2,2,3,1,4,1,0,Crank,0,0,0,0,0,0,85,40,5,45,35,40,20,50,PlayerFKnightSkillList|IsPointer,FirstAidID,,,0x0,IsLord,0x0,0x0,0x0,,,,0x0,0x0,0x0
PlayerFSoldier,TactNameText,PlayerMilitaryDescText,PlayerFSoldier,SoldierF2,FemaleMilitaryMug,0x0,WaterAff,,1,5,4,1,3,8,5,4,5,2,0,Crank,0,0,0,0,0,0,70,35,10,45,40,25,25,40,PlayerFSoldierSkillList|IsPointer,FirstAidID,,,0x0,IsLord,0x0,0x0,0x0,,,,0x0,0x0,0x0
PlayerFWyvernRider,TactNameText,PlayerMilitaryDescText,PlayerFWyvernRider,WyvernRiderF2,FemaleMilitaryMug,0x0,WindAff,,1,7,1,0,3,3,2,2,4,2,0,Crank,0,0,0,0,0,0,70,40,0,35,30,15,10,50,PlayerFWyvernRiderSkillList|IsPointer,FirstAidID,,,0x0,IsLord,0x0,0x0,0x0,,,,0x0,0x0,0x0
PlayerMMercenary,TactNameText,PlayerMercenaryDescText,PlayerMMercenary,MercenaryM2,MaleMercMug,0x0,FireAff,,1,5,3,1,2,1,1,2,2,3,Crank,0,0,0,0,0,0,0,80,40,15,35,40,25,25,50,PlayerMMercenarySkillList|IsPointer,FirstAidID,,,0x0,IsLord,0x0,0x0,0x0,,,,0x0,0x0,0x0
PlayerMFighter,TactNameText,PlayerMercenaryDescText,PlayerMFighter,FighterM2,MaleMercMug,0x0,ThunderAff,,1,9,4,1,3,3,2,1,4,2,0,0,Crank,0,0,0,0,0,105,50,10,30,30,20,10,35,PlayerMFighterSkillList|IsPointer,FirstAidID,,,0x0,IsLord,0x0,0x0,0x0,,,,0x0,0x0,0x0
PlayerMBrigand,TactNameText,PlayerMercenaryDescText,PlayerMBrigand,BrigandM2,MaleMercMug,0x0,DarkAff,,1,4,4,1,2,4,1,2,2,3,0,0,Crank,0,0,0,0,0,70,40,15,30,30,15,20,55,PlayerMBrigandSkillList|IsPointer,FirstAidID,,,0x0,IsLord,0x0,0x0,0x0,,,,0x0,0x0,0x0
PlayerMPirate,TactNameText,PlayerMercenaryDescText,PlayerMPirate,PirateM2,MaleMercMug,0x0,WaterAff,,1,5,2,0,2,4,0,3,3,3,0,0,Crank,0,0,0,0,0,80,30,15,40,40,10,20,35,PlayerMPirateSkillList|IsPointer,FirstAidID,,,0x0,IsLord,0x0,0x0,0x0,,,,0x0,0x0,0x0
PlayerMMyrmidon,TactNameText,PlayerMercenaryDescText,PlayerMMyrmidon,MyrmidonM2,MaleMercMug,0x0,AnimaAff,,1,4,1,1,3,3,2,6,4,1,Crank,0,0,0,0,0,0,0,60,35,20,50,60,20,35,35,PlayerMMyrmidonSkillList|IsPointer,FirstAidID,,,0x0,IsLord,0x0,0x0,0x0,,,,0x0,0x0,0x0
PlayerFMercenary,TactNameText,PlayerMercenaryDescText,PlayerFMercenary,MercenaryF2,FemaleMercMug,0x0,FireAff,,1,5,2,1,3,2,1,4,3,3,Crank,0,0,0,0,0,0,0,75,40,15,55,45,20,25,35,PlayerFMercenarySkillList|IsPointer,FirstAidID,,,0x0,IsLord,0x0,0x0,0x0,,,,0x0,0x0,0x0
PlayerFMyrmidon,TactNameText,PlayerMercenaryDescText,PlayerFMyrmidon,MyrmidonF2,FemaleMercMug,0x0,AnimaAff,,1,3,4,1,3,1,2,6,4,1,Crank,0,0,0,0,0,0,0,55,30,20,55,65,15,35,35,PlayerFMyrmidonSkillList|IsPointer,FirstAidID,,,0x0,IsLord,0x0,0x0,0x0,,,,0x0,0x0,0x0
PlayerFPegasusKnight,TactNameText,PlayerMercenaryDescText,PlayerFPegasusKnight,PegasusKnightF2,FemaleMercMug,0x0,WindAff,,1,3,2,2,3,3,2,6,7,5,0,Crank,0,0,0,0,0,0,50,30,25,55,55,20,40,50,PlayerFPegasusKnightSkillList|IsPointer,FirstAidID,,,0x0,IsLord,0x0,0x0,0x0,,,,0x0,0x0,0x0
PlayerMArcher,TactNameText,TactNameText,PlayerMArcher,ArcherM2,MaleMilitaryMug,0x0,AnimaAff,,1,4,3,1,2,2,3,2,3,2,0,0,0,Crank,0,0,0,0,80,40,10,45,40,25,20,30,PlayerMArcherSkillList|IsPointer,FirstAidID,,,0x0,IsLord,0x0,0x0,0x0,,,,0x0,0x0,0x0
PlayerFArcher,TactNameText,TactNameText,PlayerFArcher,ArcherF2,FemaleMilitaryMug,0x0,AnimaAff,,1,4,2,1,2,3,2,3,5,2,0,0,0,Crank,0,0,0,0,75,35,10,50,50,20,25,30,PlayerFArcherSkillList|IsPointer,FirstAidID,,,0x0,IsLord,0x0,0x0,0x0,,,,0x0,0x0,0x0
Xena,XenaNameText,XenaDescText,Xena,DreadFighterF,XenaMug,0x0,WaterAff,,1,10,3,9,8,5,3,5,10,2,Crank,0,0,0,0,0,0,Brank,80,20,40,45,30,20,35,60,XenaSkillList|IsPointer,0x0,,,0x0,0x0,0x0,0x0,0x0,,,,0x0,0x0,0x0
Vicar,VicarNameText,VicarDescText,Vicar,Warrior,VicarMug,0x0,FireAff,,1,10,9,1,7,5,5,3,5,4,0,0,Brank,Brank,0,0,0,0,85,50,10,30,35,20,15,50,VicarSkillList|IsPointer,0x0,,,0x0,0x0,0x0,0x0,0x0,,,,0x0,0x0,0x0
