INLINE Class_Level_Cap_Table,Level Cap
None,20
Ephraim Lord,20
Eirika Lord,20
Ephraim Master Lord,20
Eirika Master Lord,20
Socialknight,20
Socialknight (F),20
Paladin,20
Paladin (F),20
Armour Knight,20
Armour Knight (F),20
General,20
General (F),20
Thief,20
Mamkute,20
Mercenary,20
Mercenary (F),20
Hero,20
Hero (F),20
Swordfighter,20
Swordfighter (F),20
Swordmaster,20
Swordmaster (F),20
Assassin,20
Assassin (F),20
Archer,20
Archer (F),20
Sniper,20
Sniper (F),20
Forrest Knight,20
Forrest Knight (F),20
Dragon Knight,20
Dragon Knight (F),20
Dragon Master,20
Dragon Master (F),20
Wyvern Knight,20
Wyvern Knight (F),20
Mage,20
Mage (F),20
Sage,20
Sage (F),20
Mage Knight,20
Mage Knight (F),20
Bishop,20
Bishop (F),20
Shaman,20
Shaman (F),20
Druid,20
Druid (F),20
Summoner,20
Summoner (F),20
Rogue,20
Gorgon Egg,20
Great Knight,20
Great Knight (F),20
Trainee Soldier (2),20
Trainee Fighter (3),20
Trainee Mage (3),20
Trainee Soldier (3),20
Mamkute,20
Mamkute (F),20
Trainee Fighter (1),10
Trainee Mage (1),10
Fighter,20
Warrior,20
Mountain Thief,20
Pirate,20
Berserker,20
Monk,20
Priest,20
Bard,20
Trainee Soldier (1),10
Pegasus Knight,20
Falcon Knight,20
Sister,20
Troubadour,20
Valkyrie,20
Dancer,20
Soldier,20
Necromancer,20
Fleet,20
Ghost Fighter,20
Patriarch,20
Matriarch,20
Dark Knight M,20
Dark Knight F,20
Magus,20
Magus F,20
Master Knight_F,20
Commander,20
Impaler M,20
Wyvern General,20
Hunter M,20
Master Knight,20
Champion,20
Shadow,20
Trueblade,20
MountedBrigand,20
BUGGED,20
Mountainier,20
Black Falcoknight,20
Dragon Zombie,20
Demon King,20
Archer on Ballista,20
Archer on Iron Ballista,20
Archer on Killer Ballista,20
Ballista,20
Iron Ballista,20
Killer Ballista,20
Civilian,20
Civilian (F),20
Civilian,20
Civilian (F),20
Civilian,20
Civilian (F),20
Mage2,20
MageF2,20
Shaman2,20
ShamanF2,20
Monk2,20
MonkF2,20
Cavalier2,20
CavalierF2,20
Knight2,20
SoldierM2,20
Wyvern Rider2,20
Archer2,20
ArcherF2,20
Mercenary2,20
MercenaryF2,20
Fighter2,20
Brigand2,20
Pirate2,20
Myrmidon2,20
MyrmidonF2,20
Pegasus Knight2,20
Halberdier,20
Sentinel,20
Jacket Hero,20
Gladiator,20
Hector,20
Trueerblade,20
Gaiden Sage,20
Izuk,20
F Battle Sage,20
NarratorClass,20
Warlock,20
SpearHero,20
XeximClass,20
GrandPaladin,20
HolySage,20
WilSniper,20
Battle Sage,20
Civilian,20
Civilian (F),20
ArmoredWyvernLord,20
EdgySwordmaster,20
Emperor,20
MurielSage,20
Impaler F,20
SoldierF2,20
Hunter F,20
High Priest,20
DreadFighterM,20
DreadFighterF,20
MaligKnight,20
Strategist,20
SpellswordM,20
SpellswordF,20
