INLINE Class_Level_Cap_Table 0xFF,Level Cap
Cavalier,20
Cavalier_F,20
Paladin,20
Paladin_F,20
Knight,20
Knight_F,20
General,20
General_F,20
Thief,20
0x0E Manakete,20
Mercenary,20
Mercenary_F,20
Hero,20
Hero_F,20
Myrmidon,20
Myrmidon_F,20
Swordmaster,20
Swordmaster_F,20
Assassin,20
Assassin_F,20
Archer,20
Archer_F,20
Sniper,20
Sniper_F,20
Ranger,20
Ranger_F,20
WyvernRider,20
WyvernRider_F,20
WyvernLord,20
WyvernLord_F,20
WyvernKnight,20
WyvernKnight_F,20
Mage,20
Mage_F,20
Sage,20
Sage_F,20
MageKnight,20
MageKnight_F,20
Bishop,20
Bishop_F,20
Shaman,20
Shaman_F,20
Druid,20
Druid_F,20
Summoner,20
Summoner_F,20
Rogue,20
GorgonEgg,20
GreatKnight,20
GreatKnight_F,20
Fighter,20
Warrior,20
Brigand,20
Pirate,20
Berserker,20
Monk,20
Priest,20
Bard,20
PegasusKnight,20
Falcoknight,20
Cleric,20
Troubadour,20
Valkyrie,20
Dancer,20
Soldier,20
Necromancer,20
Fleet,20
Phantom,20
Patriarch,20
Matriarch,20
DarkKnightM,20
DarkKnightF,20
Magus,20
MagusF,20
MasterKnightF,20
Baron,20
ImpalerM,20
WyvernGeneral,20
MarksmanM,20
MasterKnightM,20
ChampionM,20
TruebladeF,20
TruebladeM,20
MountedBrigand,20
Gladiator,20
SeraphKnight,20
0x67 Archer on Ballista,20
0x68 Archer on Iron Ballista,20
0x69 Archer on Killer Ballista,20
0x6A Ballista,20
0x6B Iron Ballista,20
0x6C Killer Ballista,20
0x6D Civilian,20
0x6E Civilian (F),20
0x6F Civilian,20
0x70 Civilian (F),20
0x70 Civilian,20
0x71 Civilian (F),20
MageM2,20
MageF2,20
ShamanM2,20
ShamanF2,20
MonkM2,20
MonkF2,20
CavalierM2,20
CavalierF2,20
Knight2,20
SoldierM2,20
WyvernRider2,20
ArcherM2,20
ArcherF2,20
MercenaryM2,20
MercenaryF2,20
Fighter2,20
Brigand2,20
Pirate2,20
MyrmidonM2,20
MyrmidonF2,20
PegasusKnight2,20
Halberdier,20
Sentinel,20
JacketHero,20
Basileus,20
HectorClass,20
Trueerblade,20
GaidenSage,20
IzukClass,20
BattleSageF,20
NarratorClass,20
Warlock,20
SpearHero,20
XeximClass,20
GrandPaladin,20
HolySage,20
WilSniper,20
BattleSageM,20
LostSoulM,20
LostSoulF,20
ArmoredWyvernLord,20
EdgySwordmaster,20
EmperorClass,20
MurielSage,20
ImpalerF,20
SoldierF2,20
BowKnight,20
HighPriest,20
DreadFighterM,20
DreadFighterF,20
MaligKnight,20
Strategist,20
SpellswordM,20
SpellswordF,20
ChampionF,20
