INLINE ClassTable 0xFF,Class Name,Class Description,Class Number,Default Promotion,Map Sprite# (standing),Walking Speed,Default Portrait,***UNKNOWN***,Base HP,Base STR,Base SKL,Base SPD,Base DEF,Base MDF,Base CON,Base MOV,Max HP,Max STR/MGC,Max SKL,Max SPD,Max DEF,Max MDF,Max CON,Class Relative Power,HP Growth,STR/MGC Growth,SKL Growth,SPD Growth,DEF Growth,MDF Growth,LUK Growth,HP Promotion Bonus,STR/MGC Promotion Bonus,SKL Promotion Bonus,SPD Promotion Bonus,DEF Promotion Bonus,MDF Promotion Bonus,Class Ability 1,Class Ability 2,Class Ability 3,Class Ability 4,Base Sword Level,Base Spear Level,Base Axe Level,Base Bow Level,Base Staff Level,Base Anima Level,Base Light Level,Base Dark Level,Battle Animation Pointer,Movement Type Pointer,Movement Cost(rain) Pointer,Movement Cost(snow) Pointer,Terrain defence bonus,Terrain avoid bonus,Terrain resistance bonus,***UNKNOWN*** Pointer
0x00 None,0x0,0x0,0x0,0x0,0x0,0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,37,0,0,65,0,0,0x2,0x0,0x0,0x1,0,0,0,0,0,0,0,0,0x1f,0x0,0x231e143c,0x190f0f,0x0,0x0,0x0,0x0
Cavalier,0x2c1,0x30d,Cavalier,0x7,CavalierSprite,0,0x80,0x20,22,5,2,5,5,3,9,7,60,20,20,20,20,20,25,2,75,35,40,28,15,20,30,0,0,0,0,0,0,0x3,0x4,0x0,0x0,1,31,0,0,0,0,0,0,0x88af008,0x880ba92,0x880bee3,0x880c2f3,0x880c479,0x880c4ba,0x880c4fb,0x0
Cavalier_F,0x2c1,0x30d,Cavalier_F,0x8,CavalierFSprite,0,0x80,0x20,20,5,3,3,5,3,9,7,60,20,20,20,20,20,25,2,75,35,40,28,15,20,30,1,0,2,2,0,2,0x3,0x4,0x0,0x0,1,31,0,0,0,0,0,0,0x88af018,0x880ba92,0x880bee3,0x880c2f3,0x880c479,0x880c4ba,0x880c4fb,0x0
Paladin,0x2c2,0x30e,Paladin,0x5,PaladinSprite,0,0x81,0x21,23,7,4,7,8,7,11,8,60,25,26,24,25,28,25,3,70,25,30,18,12,30,25,2,1,1,1,2,4,0x3,0x5,0x0,0x0,31,31,0,0,0,0,0,0,0x88af028,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,0x0
Paladin_F,0x2c2,0x30e,Paladin_F,0x6,PaladinFSprite,0,0x81,0x21,23,6,6,11,7,7,9,8,60,23,27,25,24,28,25,3,70,25,35,25,12,30,25,1,1,1,2,1,4,0x3,0x5,0x0,0x0,31,31,0,0,0,0,0,0,0x88af028,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,0x0
Knight,0x2c3,KnightDescText,Knight,0xb,KnightSprite,1,0x76,0xc,23,5,2,0,8,0,13,5,60,20,20,20,20,20,20,2,80,40,30,15,28,20,25,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,Drank,Drank,0,0,0,0,0,KnightAnim|IsPointer,0x880b88a,0x880bcdb,0x880c0eb,0x880c479,0x880c4ba,0x880c4fb,0x0
Knight_F,0x2c3,KnightDescText,Knight_F,0xc,KnightFSprite,1,0x76,0xc,23,4,3,1,8,1,10,5,60,20,20,20,20,20,20,2,80,40,30,15,28,20,25,2,1,1,1,2,0,0x0,0x0,0x0,0x0,0,Drank,Drank,0,0,0,0,0,KnightAnim|IsPointer,0x880b88a,0x880bcdb,0x880c0eb,0x880c479,0x880c4ba,0x880c4fb,0x0
General,0x2c4,0x310,General,0x9,GeneralSprite,1,0x77,0xd,26,8,4,3,13,6,15,6,60,29,27,24,30,25,25,3,75,30,20,10,23,25,20,4,2,2,3,2,3,0x0,0x1,0x0,0x0,Drank,Crank,Crank,0,0,0,0,0,0x88af060,0x880b88a,0x880bcdb,0x880c0eb,0x880c479,0x880c4ba,0x880c4fb,0x0
General_F,0x2c4,0x310,General_F,0xa,GeneralFSprite,1,0x77,0xd,26,8,5,5,11,6,11,6,60,27,28,25,29,26,25,3,75,30,25,10,23,25,20,3,2,3,2,3,3,0x0,0x1,0x0,0x0,1,71,1,0,0,0,0,0,0x88af080,0x880b88a,0x880bcdb,0x880c0eb,0x880c479,0x880c4ba,0x880c4fb,0x0
Thief,0x2c5,0x311,Thief,0x17,ThiefSprite,0,0x8e,0x7,16,3,1,9,2,5,6,6,60,20,20,20,20,20,20,2,50,5,45,40,5,25,40,0,0,0,0,0,0,0xc,0x0,0x0,0x0,1,0,0,0,0,0,0,0,0x88af0a0,0x880b9cf,0x880be20,0x880c230,0x880c479,0x880c4ba,0x880c4fb,0x0
0x0E Manakete,0x2d7,0x323,0xe,0x1f,0x9,0,0x8f,0x1f,12,0,0,2,2,2,5,8,60,20,20,20,20,20,20,2,95,40,30,20,0,10,25,0,0,0,0,0,0,0x0,0x0,0x4,0x0,0,0,0,0,0,0,0,0,0x88af0ac,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
Mercenary,0x2c6,0x312,Mercenary,Mercenary,MercenarySprite,0,0x90,0x3,18,4,7,7,4,4,9,5,60,20,20,20,20,20,20,2,80,40,40,32,20,25,30,0,0,0,0,0,0,0x0,0x0,0x0,0x0,31,0,0,0,0,0,0,0,0x88af0b8,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Mercenary_F,0x2c6,0x312,Mercenary_F,Mercenary_F,MercenaryFSprite,0,0x90,0x3,16,4,7,7,4,4,9,5,60,20,20,20,20,20,20,2,80,40,40,32,20,25,30,0,0,0,0,0,0,0x0,0x0,0x0,0x0,31,0,0,0,0,0,0,0,MercenaryFAnim|IsPointer,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Hero,0x2c7,0x313,Hero,Hero,HeroSprite,0,0x91,0x4,22,6,9,10,8,6,11,6,60,25,30,26,25,25,25,3,75,30,30,20,20,25,25,4,1,2,2,2,3,0x0,0x1,0x0,0x0,71,0,31,0,0,0,0,0,0x88af0d0,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
Hero_F,0x2c7,0x313,Hero_F,Hero_F,HeroFSprite,0,0x91,0x4,22,6,10,11,6,6,9,6,60,24,30,26,24,25,25,3,75,30,30,20,20,25,25,4,1,2,2,2,3,0x0,0x1,0x0,0x0,71,0,31,0,0,0,0,0,HeroFAnim|IsPointer,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
Myrmidon,0x2c8,0x314,Myrmidon,Myrmidon,MyrmidonSprite,0,0x72,0x5,16,3,8,9,1,6,8,5,60,20,20,20,20,20,20,2,70,35,40,40,15,30,30,0,0,0,0,0,0,0x0,0x0,0x2,0x0,31,0,0,0,0,0,0,0,0x88af108,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Myrmidon_F,0x2c8,0x314,Myrmidon_F,Myrmidon_F,MyrmidonFSprite,0,0x72,0x5,15,3,8,9,1,6,7,5,60,20,20,20,20,20,20,2,70,35,40,40,15,30,30,0,0,0,0,0,0,0x0,0x0,0x2,0x0,31,0,0,0,0,0,0,0,0x88af114,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Swordmaster,0x2c9,0x315,Swordmaster,Swordmaster,SwordmasterSprite,0,0x73,0x6,21,6,11,14,5,10,9,6,60,24,29,30,22,27,20,3,65,25,30,30,15,30,25,5,2,2,2,1,3,0x40,0x1,0x2,0x0,71,0,0,0,0,0,0,0,0x88af120,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
Swordmaster_F,0x2c9,0x315,Swordmaster_F,Swordmaster_F,SwordmasterFSprite,0,0x73,0x6,19,6,11,14,4,10,7,6,60,22,29,30,22,27,20,3,65,25,30,30,15,30,25,5,2,2,2,1,3,0x40,0x1,0x2,0x0,71,0,0,0,0,0,0,0,0x88af12c,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
Assassin,0x2ca,0x316,Assassin,Assassin,AssassinSprite,0,AssassinCard,0x8,19,5,12,15,3,11,5,6,60,25,30,30,20,27,20,3,65,20,45,40,15,30,40,4,3,3,2,0,2,0x8,0x1,0x2,0x2,31,0,0,0,0,0,0,0,0x88af138,0x880b9cf,0x880be20,0x880c230,0x880c479,0x880c4ba,0x880c4fb,0x0
Assassin_F,0x2ca,0x316,Assassin_F,Assassin_F,AssassinFSprite,0,AssassinCard,0x8,19,5,12,15,3,11,5,6,60,25,30,30,20,27,20,3,65,20,45,40,15,30,40,3,2,2,1,2,2,0x8,0x1,0x2,0x2,31,0,0,0,0,0,0,0,0x88af144,0x880b9cf,0x880be20,0x880c230,0x880c479,0x880c4ba,0x880c4fb,0x0
Archer,0x2cb,0x317,Archer,Archer,ArcherSprite,0,0x78,0xa,18,4,3,3,3,4,7,5,60,20,20,20,20,20,20,2,70,35,40,32,15,20,35,0,0,0,0,0,0,0x80,0x0,0x0,0x0,0,0,0,31,0,0,0,0,0x88af150,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Archer_F,0x2cb,0x317,Archer_F,Archer_F,ArcherFSprite,0,0x78,0xa,17,3,3,4,3,4,5,5,60,20,20,20,20,20,20,2,70,35,40,32,15,20,35,0,0,0,0,0,0,0x80,0x0,0x0,0x0,0,0,0,31,0,0,0,0,0x88af168,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Sniper,0x2cc,0x318,Sniper,Sniper,SniperSprite,0,0x79,0xb,21,7,6,5,5,6,8,6,60,25,30,28,25,24,20,3,65,30,30,20,15,20,30,3,1,2,2,2,3,0x80,0x1,0x0,0x0,0,0,0,71,0,0,0,0,0x88af180,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
Sniper_F,0x2cc,0x318,Sniper_F,Sniper_F,SniperFSprite,0,0x79,0xb,19,6,6,7,5,6,6,6,60,24,30,29,24,24,20,3,65,30,30,20,15,20,30,4,3,1,1,2,2,0x80,0x1,0x0,0x0,0,0,0,71,0,0,0,0,0x88af198,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
Ranger,0x2cd,0x319,Ranger,Ranger,RangerSprite,0,0x97,0xc,21,7,6,7,6,8,9,7,60,25,28,30,24,26,25,3,60,25,30,35,15,25,25,4,3,1,1,2,4,MountedAid|HasCanto,IsPromoted|HorseIcon,0x0,0x0,31,0,0,31,0,0,0,0,0x88af1b0,0x880bb55,0x880bfa6,0x880c3b6,0x880c479,0x880c4ba,0x880c4fb,0x0
Ranger_F,0x2cd,0x319,Ranger_F,Ranger_F,RangerFSprite,0,0x97,0xc,21,6,6,7,5,8,8,7,60,23,28,30,22,26,25,3,60,25,30,35,15,25,25,4,3,1,1,2,4,MountedAid|HasCanto,IsPromoted|HorseIcon,0x0,0x0,31,0,0,31,0,0,0,0,0x88af1c0,0x880bb55,0x880bfa6,0x880c3b6,0x880c479,0x880c4ba,0x880c4fb,0x0
WyvernRider,0x2ce,0x31a,WyvernRider,WyvernRider,WyvernRiderSprite,0,0x88,0xd,20,7,3,5,8,0,10,7,60,20,20,20,20,20,25,2,80,45,35,30,25,15,25,0,0,0,0,0,0,0x3,0x8,0x0,0x0,0,31,0,0,0,0,0,0,0x88af1d0,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
WyvernRider_F,0x2ce,0x31a,WyvernRider_F,WyvernRider_F,WyvernRiderFSprite,0,0x88,0xd,19,6,5,5,7,0,9,7,60,20,20,20,20,20,25,2,80,45,35,30,25,15,25,0,0,0,0,0,0,0x3,0x8,0x0,0x0,0,31,0,0,0,0,0,0,0x88af1dc,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
WyvernLord,0x2cf,0x31b,WyvernLord,WyvernLord,WyvernLordSprite,0,0x89,0xe,25,9,5,7,10,2,11,8,60,27,25,23,28,23,25,3,75,40,30,20,20,15,20,4,2,2,0,2,1,0x3,0x9,0x40,0x0,Drank,Crank,0,0,0,0,0,0,0x88af1e8,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
WyvernLord_F,0x2cf,0x31b,WyvernLord_F,WyvernLord_F,WyvernLordFSprite,0,0x89,0xe,24,8,7,7,9,2,10,8,60,25,26,24,27,23,25,3,75,40,30,20,20,15,20,4,2,2,0,2,1,0x3,0x9,0x40,0x0,Drank,Crank,0,0,0,0,0,0,0x88af1f8,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
WyvernKnight,WyvernKnightNameText,0x31c,WyvernKnight,WyvernKnight,WyvernKnightSprite,0,0x93,0xf,20,7,7,8,7,4,10,8,60,25,26,28,24,24,25,3,65,35,30,30,15,20,25,3,2,2,2,1,2,0x3,0x9,0x0,0x0,0,71,0,0,0,0,0,0,0x88af208,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
WyvernKnight_F,WyvernKnightNameText,0x31c,WyvernKnight_F,WyvernKnight_F,WyvernKnightFSprite,0,0x93,0xf,19,6,8,9,6,4,9,8,60,24,27,29,23,24,25,3,65,35,30,30,15,20,25,3,2,2,2,1,2,0x3,0x9,0x0,0x0,0,71,0,0,0,0,0,0,0x88af214,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
Mage,0x2d1,0x31d,Mage,Mage,MageSprite,0,0x7c,0x12,16,1,2,3,3,2,6,5,60,20,20,20,20,20,20,2,45,10,40,35,5,20,30,0,0,1,2,1,2,0x0,0x0,0x0,0x0,0,0,0,0,0,31,0,0,0x88af220,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Mage_F,0x2d1,0x31d,Mage_F,Mage_F,MageFSprite,0,0x7c,0x12,16,1,3,2,2,2,3,5,60,20,20,20,20,20,20,2,45,10,40,35,5,20,30,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,31,0,0,0x88af234,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Sage,0x2d2,0x31e,Sage,Sage,SageSprite,0,0x7d,0x13,20,3,4,4,5,4,7,6,60,21,30,26,21,25,20,3,45,10,30,25,10,20,15,4,2,1,0,3,1,0x0,0x1,0x0,0x0,0,0,0,0,Drank,Crank,Crank,0,0x88af248,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Sage_F,0x2d2,0x31e,Sage_F,Sage_F,SageFSprite,0,0x7d,0x13,19,3,6,5,3,4,4,6,60,21,28,26,21,25,20,3,45,10,30,25,10,20,15,4,2,1,0,3,1,0x0,0x1,0x0,0x0,0,0,0,0,Drank,Crank,Crank,0,0x88af260,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
MageKnight,0x2d3,MageKnightDescText,MageKnight,MageKnight,MageKnightSprite,0,0x95,0x14,20,4,3,5,5,5,8,7,60,24,26,25,24,25,25,3,50,20,30,40,15,23,30,4,2,1,0,3,2,0x3,0x5,0x0,0x0,Drank,0,0,0,Drank,Crank,0,0,MageKnightMAnim|IsPointer,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,0x0
MageKnight_F,0x2d3,MageKnightDescText,MageKnight_F,MageKnight_F,MageKnightFSprite,0,0x95,0x14,19,4,3,6,3,5,6,7,60,24,24,25,24,25,25,3,50,20,30,40,15,23,40,4,2,1,0,3,2,0x3,0x5,0x0,0x0,Drank,0,0,0,Drank,Crank,0,0,MageKnightFAnim|IsPointer,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,0x0
