INLINE UseEffectAnimTable,Effect ID,No. of Chars to Display (1 or 2),Ranged Animation to Use,Ranged Animation Enabled,Item ID,Alternate Pointer,Return to original position (map),Facing position (map),Enemy's flashing colour (map)
Default/ No Effect,0x0,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0
Heal,HealEffectID,2,0x26,0x0,0x0,0x89a4a54,0x1,0x0,0x0
Mend,MendEffectID,2,0x27,0x0,0x0,0x89a4abc,0x1,0x0,0x0
Recover,RecoverEffectID,2,0x28,0x0,0x0,0x89a4b24,0x1,0x0,0x0
Physic,PhysicEffectID,2,0x29,0x0,0x0,0x89a4b8c,0x1,0x0,0x0
Fortify,FortifyEffectID,1,0x2a,0x0,0x0,0x89a489c,0x0,0x1,0x0
Restore,RestoreEffectID,2,0x2c,0x0,0x0,0x89a4f44,0x0,0x0,0x0
Silence Staff,SilenceEffectID,2,0x2d,0x0,0x0,0x89a4ea4,0x0,0x0,0x0
Sleep Staff,SleepEffectID,2,0x2e,0x0,0x0,0x89a4d64,0x0,0x0,0x0
Berserk Staff,BerserkEffectID,2,0x2e,0x0,0x53,0x89a4cc4,0x0,0x0,0x0
Berserk Staff,BerserkEffectID,2,0x30,0x0,0x0,0x89a4cc4,0x0,0x0,0x0
Warp Staff,WarpEffectID,2,0xfe,0xff,0x0,0x89a5214,0x0,0x0,0x0
Rescue Staff,RescueEffectID,2,0xfe,0xff,0x0,0x89a5214,0x0,0x0,0x0
Torch Staff,TorchEffectID,1,0xfe,0xff,0x0,0x89a4bf4,0x0,0x1,0x0
Hammerne,HammerneEffectID,2,0x2f,0x0,0x0,0x89a4fcc,0x0,0x0,0x0
Unlock Staff,UnlockEffectID,1,0xfe,0xff,0x0,0x89a4c3c,0x0,0x2,0x0
Barrier Staff,BarrierEffectID,2,0x31,0x0,0x0,0x89a518c,0x0,0x0,0x0
Angelic Robe,AngelicRobeEffectID,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Energy Ring,EnergyRingEffectID,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Secret Book,SecretBookEffectID,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Speedwings,SpeedwingsEffectID,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Goddess Icon,GoddessIconEffectID,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Dragonshield,DragonshieldEffectID,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Talisman,TalismanEffectID,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Boots,BootsEffectID,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Body Ring,BodyRingEffectID,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Hero Crest,HeroCrestEffectID,2,0x32,0x0,0x0,0x0,0x1,0x0,0x0
Knight Crest,KnightCrestEffectID,2,0x32,0x0,0x0,0x0,0x1,0x0,0x0
Orion's Bolt,OrionBoltEffectID,2,0x32,0x0,0x0,0x0,0x1,0x0,0x0
Elysian Whip,ElysianWhipEffectID,2,0x32,0x0,0x0,0x0,0x1,0x0,0x0
Guiding Ring,GuidingRingEffectID,2,0x32,0x0,0x0,0x0,0x1,0x0,0x0
Chest Key,ChestKeyEffectID,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Door Key,DoorKeyEffectID,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Lockpick,LockpickEffectID,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Vulnerary,VulneraryEffectID,1,0xfe,0xff,0x0,0x89a49fc,0x1,0x1,0x0
Elixir,ElixirEffectID,1,0xfe,0xff,0x0,0x89a49a4,0x1,0x1,0x0
Pure Water,PureWaterEffectID,1,0xfe,0xff,0x0,0x89a495c,0x0,0x1,0x0
Antidote,AntitoxinEffectID,1,0xfe,0xff,0x0,0x89a4914,0x0,0x1,0x0
Torch Item,TorchItemEffectID,1,0xfe,0xff,0x0,0x89a4bf4,0x0,0x1,0x0
Chest Key (master key will replace this),ChestKeyEffectID,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Mine,MineItemEffectID,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Light Rune,LightRuneEffectID,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Master Seal,MasterSealEffectID,2,0x32,0x0,0x0,0x0,0x1,0x0,0x0
Metis's Tome,MetisTomeEffectID,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Heaven Seal,HeavanSealEffectID,2,0x32,0x0,0x0,0x0,0x1,0x0,0x0
Ocean Seal,OceanSealEffectID,2,0x32,0x0,0x0,0x0,0x1,0x0,0x0
Lunar Brace,LunarBraceEffectID,2,0x32,0x0,0x0,0x0,0x1,0x0,0x0
Solar Brace,SolarBraceEffectID,2,0x32,0x0,0x0,0x0,0x1,0x0,0x0
Juna Fruit,JunaFruitEffectID,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Latona,LatonaEffectID,1,0x2b,0x0,0x0,0x89a489c,0x0,0x1,0x0
Multi-Skill Scroll,SkillScrollEffectID,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0
End of the list,0xffff,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0
