INLINE IERevampTable ,Item Usability Pointer,Item Prep Screen Usability Pointer,Item Target Pointer,Item Effect Pointer,,Statboster Text Routine Pointer
0x00,0x8028c04,0x802a100,0x802905c,0x802ff76,,0x802F90C
HealEffectID,0x8028a8c,0x802a100,0x8028f94,0x802fe6c,,0x802F90C
MendEffectID,0x8028a8c,0x802a100,0x8028f94,0x802fe6c,,0x802F90C
RecoverEffectID,0x8028a8c,0x802a100,0x8028f94,0x802fe6c,,0x802F90C
PhysicEffectID,0x8028a9c,0x802a100,0x8028f9c,0x802fe6c,,0x802F90C
FortifyEffectID,0x8028aac,0x802a100,0x8029014,0x802fe84,,0x802F90C
RestoreEffectID,0x8028abc,0x802a100,0x8028fbc,0x802fe8c,,0x802F90C
SilenceEffectID,0x8028aec,0x802a100,0x8028fcc,0x802fe74,,0x802F90C
SleepEffectID,0x8028afc,0x802a100,0x8028fd4,0x802fe74,,0x802F90C
BerserkEffectID,0x8028b0c,0x802a100,0x8028fdc,0x802fe74,,0x802F90C
WarpEffectID,0x8028b1c,0x802a100,0x8029004,0x802fea4,,0x802F90C
RescueEffectID,0x8028acc,0x802a100,0x8028fac,0x802fe94,,0x802F90C
TorchEffectID,0x8028bc8,0x802a100,0x8029040,0x802ff60,,0x802F90C
HammerneEffectID,0x8028b2c,0x802a100,0x802900c,0x802feb4,,0x802F90C
UnlockEffectID,0x8028b3c,0x802a100,0x8028ff4,0x802feac,,0x802F90C
BarrierEffectID,0x8028adc,0x802a100,0x8028fec,0x802fe9c,,0x802F90C
AngelicRobeEffectID,0x8028b4c,0x802a0d0,0x802905c,0x802ff40,,0x802f83a
EnergyRingEffectID,0x8028b4c,0x802a0d0,0x802905c,0x802ff40,,0x802f83a
SecretBookEffectID,0x8028b4c,0x802a0d0,0x802905c,0x802ff40,,0x802f83a
SpeedwingsEffectID,0x8028b4c,0x802a0d0,0x802905c,0x802ff40,,0x802f83a
GoddessIconEffectID,0x8028b4c,0x802a0d0,0x802905c,0x802ff40,,0x802f83a
DragonshieldEffectID,0x8028b4c,0x802a0d0,0x802905c,0x802ff40,,0x802f83a
TalismanEffectID,0x8028b4c,0x802a0d0,0x802905c,0x802ff40,,0x802f83a
BootsEffectID,0x8028b4c,0x802a0d0,0x802905c,0x802ff40,,0x802f83a
BodyRingEffectID,0x8028b4c,0x802a0d0,0x802905c,0x802ff40,,0x802f83a
HeroCrestEffectID,0x8028b56,0x802a0da,0x802905c,0x802feec,,0x802F90C
KnightCrestEffectID,0x8028b56,0x802a0da,0x802905c,0x802feec,,0x802F90C
OrionBoltEffectID,0x8028b56,0x802a0da,0x802905c,0x802feec,,0x802F90C
ElysianWhipEffectID,0x8028b56,0x802a0da,0x802905c,0x802feec,,0x802F90C
GuidingRingEffectID,0x8028b56,0x802a0da,0x802905c,0x802feec,,0x802F90C
ChestKeyEffectID,0x8028b80,0x802a100,0x802905c,0x802fee6,,0x802F90C
DoorKeyEffectID,0x8028b88,0x802a100,0x802905c,0x802fee6,,0x802F90C
LockpickEffectID,0x8028b90,0x802a100,0x802905c,0x802fee6,,0x802F90C
VulneraryEffectID,0x8028b60,0x802a100,0x802905c,0x802fec4,,0x802F90C
ElixirEffectID,0x8028b60,0x802a100,0x802905c,0x802fece,,0x802F90C
PureWaterEffectID,0x8028b68,0x802a100,0x802905c,0x802fed6,,0x802F90C
AntitoxinEffectID,0x8028b78,0x802a100,0x802905c,0x802fede,,0x802F90C
TorchItemEffectID,0x8028b70,0x802a100,0x802905c,0x802febc,,0x802F90C
MineItemEffectID,0x8028ba8,0x802a100,0x802901c,0x802ff50,,0x802F90C
LightRuneEffectID,0x8028bb8,0x802a100,0x802902c,0x802ff58,,0x802F90C
MasterSealEffectID,0x8028b56,0x802a0da,0x802905c,0x802feec,,0x802F90C
MetisTomeEffectID,0x8028be8,0x802a0e4,0x802905c,0x802ff40,,0x802F824
HeavanSealEffectID,0x8028b56,0x802a0da,0x802905c,0x802feec,,0x802F90C
OceanSealEffectID,0x8028b56,0x802a0da,0x802905c,0x802feec,,0x802F90C
LunarBraceEffectID,0x8028b56,0x802a0da,0x802905c,0x802feec,,0x802F90C
SolarBraceEffectID,0x8028b56,0x802a0da,0x802905c,0x802feec,,0x802F90C
JunaFruitEffectID,0x8028bf8,0x802a0f4,0x802905c,0x802ff70,,0x802F90C
LatonaEffectID,0x8028b98,0x802a100,0x8029014,0x802ff48,,0x802F90C
SkillScrollEffectID,MultiScrollUsability|IsPointer,MultiScrollPrepUsability|IsPointer,0x802905c,MultiScrollEffect|IsPointer,,MultiScrollPrepEffect|IsPointer
SpiritDustEffectID,0x8028B4C,0x802A0D0,0x802905c,0x802FF40,,0x802f83a
