INLINE IBArray,Statboster Text Routine Pointer
0x00,0x802F90C
HealEffectIDID,0x802F90C
MendEffectIDID,0x802F90C
RecoverEffectIDID,0x802F90C
PhysicEffectIDID,0x802F90C
FortifyEffectIDID,0x802F90C
RestoreEffectIDID,0x802F90C
SilenceEffectIDID,0x802F90C
SleepEffectIDID,0x802F90C
BerserkEffectIDID,0x802F90C
WarpEffectIDID,0x802F90C
RescueEffectIDID,0x802F90C
TorchEffectID,0x802F90C
HammerneEffectID,0x802F90C
UnlockEffectID,0x802F90C
BarrierEffectID,0x802F90C
AngelicRobeEffectID,0x802f83a
EnergyRingEffectID,0x802f83a
Secret Book,0x802f83a
SpeedwingsEffectID,0x802f83a
GoddessIconEffectID,0x802f83a
DragonshieldEffectID,0x802f83a
TalismanEffectID,0x802f83a
BootsEffectID,0x802f83a
BodyRingEffectID,0x802f83a
HeroCrestEffectID,0x802F90C
KnightCrestEffectID,0x802F90C
OrionBoltEffectID,0x802F90C
ElysianWhipEffectID,0x802F90C
GuidingRingEffectID,0x802F90C
ChestKeyEffectID,0x802F90C
DoorKeyEffectID,0x802F90C
LockpickEffectID,0x802F90C
VulneraryEffectID,0x802F90C
ElixirEffectID,0x802F90C
PureWaterEffectID,0x802F90C
AntitoxinEffectID,0x802F90C
TorchItemEffectID,0x802F90C
MineEffectID,0x802F90C
LightRuneEffectID,0x802F90C
MasterSealEffectID,0x802F90C
MetisTomeEffectID,0x802F824
HeavanSealEffectID,0x802F90C
OceanSealEffectID,0x802F90C
LunarBraceEffectID,0x802F90C
SolarBraceEffectID,0x802F90C
JunaFruitEffectID,0x802F90C
LatonaEffectID,0x802F90C
SkillScrollEffectID,MultiScrollPrepEffect|IsPointer
