INLINE ItemTargetTable 0xB4 0x4B,Item Target Pointer
Heal,0x8028f94
Mend,0x8028f94
Recover,0x8028f94
Physic,0x8028f9c
Fortify,0x8029014
Restore,0x8028fbc
Silence,0x8028fcc
Sleep,0x8028fd4
Berserk,0x8028fdc
Warp,0x8029004
Rescue,0x8028fac
Torch,0x8029040
Hammerne,0x802900c
Unlock,0x8028ff4
Barrier,0x8028fec
DragonAxe,0x802905c
AngelicRobe,0x802905c
EnergyRing,0x802905c
SecretBook,0x802905c
Speedwings,0x802905c
GoddessIcon,0x802905c
DragonShield,0x802905c
Talisman,0x802905c
Boots,0x802905c
BodyRing,0x802905c
HeroCrest,0x802905c
KnightCrest,0x802905c
OrionBolt,0x802905c
ElysianWhip,0x802905c
GuidingRing,0x802905c
ChestKey,0x802905c
DoorKey,0x802905c
Lockpick,0x802905c
Vulnerary,0x802905c
Elixir,0x802905c
PureWater,0x802905c
Antitoxin,0x802905c
Torch,0x802905c
DelphiShield,0x802905c
MemberCard,0x802905c
SilverCard,0x802905c
WhiteGem,0x802905c
BlueGem,0x802905c
RedGem,0x802905c
Gold,0x802905c
Reginleif,0x802905c
ChestKey_5,0x802905c
Mine,0x802901c
LightRune,0x802902c
HoplonShield,0x802905c
FillasMight,0x8029048
NinissGrace,0x8029048
ThorsIre,0x8029048
SetsLitany,0x8029048
ShadowKiller,0x802905c
BrightLance,0x802905c
FiendCleaver,0x802905c
BeaconBow,0x802905c
Sieglind,0x802905c
BattleAxe,0x802905c
Ivaldi,0x802905c
MasterSeal,0x802905c
MetissTome,0x802905c
HeavenSeal,0x802905c
SharpClaw,0x802905c
Latona,0x8029014
Dragonspear,0x802905c
Vidofnir,0x802905c
Naglfal,0x802905c
WretchedAir,0x802905c
Audhulma,0x802905c
Siegmund,0x802905c
Garm,0x802905c
Nidhogg,0x802905c
HeavySpear,0x802905c
ShortSpear,0x802905c
OceanSeal,0x802905c
MoonBracelet,0x802905c
SunBracelet,0x802905c
_1G,0x802905c
_5G,0x802905c
_10G,0x802905c
_50G,0x802905c
_100G,0x802905c
_3000G,0x802905c
_5000G,0x802905c
WindSword,0x802905c
ArmsScroll,0x8026235
0xA3 Vulnerary (green note),0x802905c
0xA4 Vulnerary (red note),0x802905c
0xA5 Dance,0x802905c
0xA6 ightmare,0x802905c
0xA7 Demon Stone,0x802905c
0xA8 Demon Light,0x802905c
0xA9 Ravager,0x802905c
DragonStone,0x802905c
DemonSurge,0x802905c
Shadowshot,0x802905c
RottenClaw,0x802905c
FetidClaw,0x802905c
PoisonClaw,0x802905c
LethalTalon,0x802905c
FireFang,0x802905c
HellFang,0x802905c
EvilEye,0x802905c
CrimsonEye,0x802905c
Stone,0x802905c
JunaFruit,0x802905c
_150G,0x802905c
_200G,0x802905c
BlackGem,0x802905c
GoldGem,0x802905c
Aqua,0x802905c
Arcthunder,0x802905c
Bolagnone,0x802905c
Arcwind,0x802905c
Dasher,0x802905c
Ragnorak,0x802905c
Elwind,0x802905c
Thoron,0x802905c
Tornado,0x802905c
Wind,0x802905c
Dulam,0x802905c
Slime,0x802905c
Swarm,0x802905c
Worm,0x802905c
Artimes,0x802905c
Thani,0x802905c
Exordium,0x802905c
Starlight,0x802905c
DevilSword,0x802905c
DevilLance,0x802905c
DevilBow,0x802905c
Flare,0x802905c
SteelLongbow,0x802905c
SilverLongbow,0x802905c
SteelShortbow,0x802905c
SilverShortbow,0x802905c
Elthunder,0x802905c
Arcfire,0x802905c
Lanceslayer,0x802905c
Axeslayer,0x802905c
Elaqua,0x802905c
Arcaqua,0x802905c
Meteor,0x802905c
Hail,0x802905c
ToxinSword,0x802905c
ToxinLance,0x802905c
ToxinAxe,0x802905c
ToxinBow,0x802905c
SpiritDust,0x802905c
DoorKey_5,0x802905c
Tempest,0x802905c
