INLINE SetPoisonItemTable 0xFF,PoisonApplied
0x00 Nothing,0
IronSword,0
SlimSword,0
SteelSword,0
SilverSword,0
IronBlade,0
SteelBlade,0
SilverBlade,0
PoisonSword,3
Rapier,0
0x0A Mani Katti (DUMMY),0
BraveSword,0
Shamshir,0
KillingEdge,0
Armorslayer,0
Wyrmslayer,0
LightBrand,0
Runesword,0
Lancereaver,0
Zanbato,0
IronLance,0
SlimLance,0
SteelLance,0
SilverLance,0
PoisonLance,3
BraveLance,0
KillerLance,0
Horseslayer,0
Javelin,0
Spear,0
Axereaver,0
IronAxe,0
SteelAxe,0
SilverAxe,0
PoisonAxe,3
BraveAxe,0
KillerAxe,0
Halberd,0
Hammer,0
DevilAxe,0
HandAxe,0
Tomahawk,0
Swordreaver,0
Swordslayer,0
ShortAxe,0
IronBow,0
SteelBow,0
SilverBow,0
PoisonBow,3
KillerBow,0
BraveBow,0
IronShortbow,0
IronLongbow,0
0x35 Ballista,0
0x36 Iron Ballista,0
0x37 Killer Ballista,0
Fire,0
Thunder,0
Elfire,0
Bolting,0
Fimbulvetr,0
0x3D Forblaze (DUMMY),0
Excalibur,0
Lightning,0
Shine,0
Divine,0
Purge,0
Aura,0
0x44 Luce (DUMMY),0
Flux,0
Luna,0
Nosferatu,0
Eclipse,0
Fenrir,0
Gleipnir,0
Heal,0
Mend,0
Recover,0
Physic,0
Fortify,0
Restore,0
Silence,0
Sleep,0
Berserk,0
Warp,0
Rescue,0
Torch,0
Hammerne,0
Unlock,0
Barrier,0
DragonAxe,0
AngelicRobe,0
EnergyRing,0
SecretBook,0
Speedwings,0
GoddessIcon,0
DragonShield,0
Talisman,0
Boots,0
BodyRing,0
HeroCrest,0
KnightCrest,0
OrionBolt,0
ElysianWhip,0
GuidingRing,0
ChestKey,0
DoorKey,0
Lockpick,0
Vulnerary,0
Elixir,0
PureWater,0
Antitoxin,0
Torch,0
DelphiShield,0
MemberCard,0
SilverCard,0
WhiteGem,0
BlueGem,0
RedGem,0
Gold,0
Reginleif,0
ChestKey_5,0
Mine,0
LightRune,0
HoplonShield,0
FillasMight,0
NinissGrace,0
ThorsIre,0
SetsLitany,0
ShadowKiller,0
BrightLance,0
FiendCleaver,0
BeaconBow,0
Sieglind,0
BattleAxe,0
Ivaldi,0
MasterSeal,0
MetissTome,0
HeavenSeal,0
SharpClaw,0
Latona,0
Dragonspear,0
Vidofnir,0
Naglfal,0
WretchedAir,0
Audhulma,0
Siegmund,0
Garm,0
Nidhogg,0
HeavySpear,0
ShortSpear,0
OceanSeal,0
MoonBracelet,0
SunBracelet,0
_1G,0
_5G,0
_10G,0
_50G,0
_100G,0
_3000G,0
_5000G,0
WindSword,0
ArmsScroll,0
0xA3 Vulnerary (green note),0
0xA4 Vulnerary (red note),0
0xA5 Dance,0
0xA6 ightmare,0
0xA7 Demon Stone,0
0xA8 Demon Light,0
0xA9 Ravager,0
DragonStone,0
DemonSurge,0
Shadowshot,0
RottenClaw,0
FetidClaw,0
PoisonClaw,3
LethalTalon,6
FireFang,0
HellFang,0
EvilEye,0
CrimsonEye,0
Stone,0
JunaFruit,0
_150G,0
_200G,0
BlackGem,0
GoldGem,0
Aqua,0
Arcthunder,0
Bolagnone,0
Arcwind,0
Dasher,0
Ragnorak,0
Elwind,0
Thoron,0
Tornado,0
Wind,0
Dulam,0
Slime,4
Swarm,0
Worm,0
Artimes,0
Thani,0
Exordium,0
Starlight,0
DevilSword,0
DevilLance,0
DevilBow,0
Flare,0
SteelLongbow,0
SilverLongbow,0
SteelShortbow,0
SilverShortbow,0
Elthunder,0
Arcfire,0
Lanceslayer,0
Axeslayer,0
Elaqua,0
Arcaqua,0
Meteor,0
Hail,0
ToxinSword,5
ToxinLance,5
ToxinAxe,5
ToxinBow,5
SpiritDust,5
DoorKey_5,0
Tempest,0
Tempest,0
