,Weapon,No. of Chars to Display (1 or 2),Ranged Animation to Use,Ranged Animation Enabled,##UNKNOWN##,Alternate Pointer,Return to original position (map),Facing position (map),Enemy's flashing colour (map),##UNKNOWN##
0x0,0x1,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x1,0x5,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x2,0x3,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x3,0x4,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x4,0x2,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x5,0x8,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x6,0xb,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x7,0x10,2,0x1f,0x0,0x0,0x0,0x1,0x0,0x5,0x0
0x8,Aqua,2,AquaAnim,0x0,0x0,0x0,0x1,0x0,BlueFlash,0x0
0x9,0xe,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xa,0x9,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xb,0xa,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xc,Dasher,2,DasherAnim,0x0,0x0,0x0,0x1,0x0,WhiteFlash,0x0
0xd,0xd,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xe,0x12,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0xf,0x13,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x10,0x14,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x11,0x16,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x12,0x17,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x13,0x15,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x14,0x18,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x15,0x19,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x16,0x1c,2,0x3,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x17,0x1b,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x18,0x1a,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x19,0x1e,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x1a,0x95,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x1b,0x96,2,0x3,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x1c,0x00,2,0x00,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x1d,0x1f,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x1e,0x20,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x1f,0x21,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x20,0x22,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x21,0x23,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x22,0x28,2,0x1,0x0,0x0,0x0,0x1,0x0,0x0,0x0
0x23,Arcthunder,2,ArcthunderAnim,0x0,0x0,0x0,0x1,0x0,BlueFlash,0x0
0x24,0x26,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x25,0x24,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x26,0x2b,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
0x27,0x2a,2,0xff,0xff,0x0,0x0,0x1,0x0,0x0,0x0
