INLINE WeaponLockArrayPointerTable 0xFF,Array Pointer
0x00 Nothing,0x0
IronSword,0x0
SlimSword,0x0
SteelSword,0x0
SilverSword,0x0
IronBlade,0x0
SteelBlade,0x0
SilverBlade,0x0
PoisonSword,0x0
Rapier,0x0
0x0A Mani Katti (DUMMY),0x0
BraveSword,0x0
Shamshir,0x0
KillingEdge,0x0
Armorslayer,0x0
Wyrmslayer,0x0
LightBrand,0x0
Runesword,0x0
Lancereaver,0x0
Zanbato,0x0
IronLance,0x0
SlimLance,0x0
SteelLance,0x0
SilverLance,0x0
PoisonLance,0x0
BraveLance,0x0
KillerLance,0x0
Horseslayer,0x0
Javelin,0x0
Spear,0x0
Axereaver,0x0
IronAxe,0x0
SteelAxe,0x0
SilverAxe,0x0
PoisonAxe,0x0
BraveAxe,0x0
KillerAxe,0x0
Halberd,0x0
Hammer,0x0
DevilAxe,0x0
HandAxe,0x0
Tomahawk,0x0
Swordreaver,0x0
Swordslayer,0x0
ShortAxe,0x0
IronBow,0x0
SteelBow,0x0
SilverBow,0x0
PoisonBow,0x0
KillerBow,0x0
BraveBow,0x0
IronShortbow,0x0
IronLongbow,0x0
0x35 Ballista,0x0
0x36 Iron Ballista,0x0
0x37 Killer Ballista,0x0
Fire,0x0
Thunder,0x0
Elfire,0x0
Bolting,0x0
Fimbulvetr,0x0
0x3D Forblaze (DUMMY),0x0
Excalibur,0x0
Lightning,0x0
Shine,0x0
Divine,0x0
Purge,0x0
Aura,0x0
0x44 Luce (DUMMY),0x0
Flux,0x0
Luna,0x0
Nosferatu,0x0
Eclipse,0x0
Fenrir,0x0
Gleipnir,0x0
Heal,0x0
Mend,0x0
Recover,0x0
Physic,0x0
Fortify,0x0
Restore,0x0
Silence,0x0
Sleep,0x0
Berserk,0x0
Warp,0x0
Rescue,0x0
Torch,0x0
Hammerne,0x0
Unlock,0x0
Barrier,0x0
DragonAxe,0x0
AngelicRobe,0x0
EnergyRing,0x0
SecretBook,0x0
Speedwings,0x0
GoddessIcon,0x0
DragonShield,0x0
Talisman,0x0
Boots,0x0
BodyRing,0x0
HeroCrest,0x0
KnightCrest,0x0
OrionBolt,0x0
ElysianWhip,0x0
GuidingRing,0x0
ChestKey,0x0
DoorKey,0x0
Lockpick,0x0
Vulnerary,0x0
Elixir,0x0
PureWater,0x0
Antitoxin,0x0
Torch,0x0
DelphiShield,0x0
MemberCard,0x0
SilverCard,0x0
WhiteGem,0x0
BlueGem,0x0
RedGem,0x0
Gold,0x0
Reginleif,0x0
ChestKey_5,0x0
Mine,0x0
LightRune,0x0
HoplonShield,0x0
FillasMight,0x0
NinissGrace,0x0
ThorsIre,0x0
SetsLitany,0x0
ShadowKiller,0x0
BrightLance,0x0
FiendCleaver,0x0
BeaconBow,0x0
Sieglind,0x0
BattleAxe,0x0
Ivaldi,0x0
MasterSeal,0x0
MetissTome,0x0
HeavenSeal,0x0
SharpClaw,0x0
Latona,0x0
Dragonspear,0x0
Vidofnir,0x0
Naglfal,0x0
WretchedAir,0x0
Audhulma,0x0
Siegmund,0x0
Garm,0x0
Nidhogg,0x0
HeavySpear,0x0
ShortSpear,0x0
OceanSeal,0x0
MoonBracelet,0x0
SunBracelet,0x0
_1G,0x0
_5G,0x0
_10G,0x0
_50G,0x0
_100G,0x0
_3000G,0x0
_5000G,0x0
WindSword,0x0
ArmsScroll,0x0
0xA3 Vulnerary (green note),0x0
0xA4 Vulnerary (red note),0x0
0xA5 Dance,0x0
0xA6 ightmare,0x0
0xA7 Demon Stone,0x0
0xA8 Demon Light,0x0
0xA9 Ravager,0x0
DragonStone,0x0
DemonSurge,0x0
Shadowshot,0x0
RottenClaw,0x0
FetidClaw,0x0
PoisonClaw,0x0
LethalTalon,0x0
FireFang,0x0
HellFang,0x0
EvilEye,0x0
CrimsonEye,0x0
Stone,0x0
JunaFruit,0x0
_150G,0x0
_200G,0x0
BlackGem,0x0
GoldGem,0x0
Aqua,0x0
Arcthunder,0x0
Bolagnone,0x0
Arcwind,0x0
Dasher,0x0
Ragnorak,0x0
Elwind,0x0
Thoron,0x0
Tornado,0x0
Wind,0x0
Dulam,0x0
Slime,0x0
Swarm,0x0
Worm,0x0
Artimes,0x0
Thani,0x0
Exordium,0x0
Starlight,0x0
DevilSword,0x0
DevilLance,0x0
DevilBow,0x0
Flare,0x0
SteelLongbow,0x0
SilverLongbow,0x0
SteelShortbow,0x0
SilverShortbow,0x0
Elthunder,0x0
Arcfire,0x0
Lanceslayer,0x0
Axeslayer,0x0
Elaqua,0x0
Arcaqua,0x0
Meteor,0x0
Hail,0x0
ToxinSword,0x0
ToxinLance,0x0
ToxinAxe,0x0
ToxinBow,0x0
SpiritDust,0x0
DoorKey_5,0x0
Tempest,0x0
