,Unknown,##UNKNOWN##,Size,##UNKNOWN##,Poiner to graphics
CavalierSprite,0x2,0x0,0x1,0x0,0x81b7ecc
PaladinSprite,0x2,0x0,0x1,0x0,0x81b8088
KnightSprite,0x2,0x0,Medium,0x0,KnightSt|IsPointer
GeneralSprite,0x0,0x0,0x1,0x0,0x81b8364
ThiefSprite,0x2,0x0,0x0,0x0,0x81b8504
MercenarySprite,0x2,0x0,0x0,0x0,0x81b8678
MercenaryFSprite,0x2,0x0,0x2,0x0,FMercenaryFix|IsPointer
HeroSprite,0x2,0x0,0x0,0x0,0x81b8940
HeroFSprite,0x2,0x0,0x0,0x0,0x81b8aa0
MyrmidonSprite,0x2,0x0,0x0,0x0,0x81b8bdc
MyrmidonFSprite,0x2,0x0,0x0,0x0,0x81b8cf0
SwordmasterSprite,0x2,0x0,0x0,0x0,0x81b8e00
SwordmasterFSprite,0x2,0x0,0x0,0x0,0x81b8ee8
AssassinSprite,0x2,0x0,0x0,0x0,0x81b8fc4
AssassinFSprite,0x2,0x0,0x0,0x0,0x81b9100
ArcherSprite,0x2,0x0,0x0,0x0,0x81b9234
ArcherFSprite,0x2,0x0,0x0,0x0,0x81b934c
SniperSprite,0x2,0x0,0x0,0x0,0x81b9460
SniperFSprite,0x2,0x0,0x0,0x0,0x81b95a4
RangerSprite,0x2,0x0,0x1,0x0,0x81b96c8
WyvernRiderSprite,0x2,0x0,0x1,0x0,0x81b9894
WyvernRiderFSprite,0x2,0x0,0x1,0x0,0x81b9a88
WyvernLordSprite,0x2,0x0,0x1,0x0,0x81b9c7c
WyvernLordFSprite,0x2,0x0,0x1,0x0,0x81b9e70
WyvernKnightSprite,0x3,0x0,0x1,0x0,0x81ba068
MageSprite,0x2,0x0,0x0,0x0,0x81ba274
MageFSprite,0x2,0x0,0x0,0x0,0x81ba3ac
SageSprite,0x2,0x0,0x0,0x0,0x81ba4ec
SageFSprite,0x2,0x0,0x0,0x0,0x81ba648
MageKnightSprite,0x2,0x0,0x1,0x0,0x81ba7a8
MageKnightFSprite,0x2,0x0,0x1,0x0,0x81ba95c
BishopSprite,0x2,0x0,0x0,0x0,0x81bab20
BishopFSprite,0x2,0x0,0x0,0x0,0x81bac74
ShamanSprite,0x2,0x0,0x0,0x0,0x81badcc
DruidSprite,0x2,0x0,0x0,0x0,0x81baf24
SummonerSprite,0x2,0x0,0x1,0x0,0x81bb098
RogueSprite,0x2,0x0,0x0,0x0,0x81bb1b8
GreatKnightSprite,0x2,0x0,0x1,0x0,0x81bb3b0
FighterSprite,0x2,0x0,0x1,0x0,0x81bbcd0
WarriorSprite,0x2,0x0,0x1,0x0,0x81bbdfc
BrigandSprite,0x2,0x0,0x1,0x0,0x81bbf7c
PirateSprite,0x2,0x0,Small,0x0,PirateSt|IsPointer
BerserkerSprite,0x2,0x0,0x1,0x0,0x81bc26c
MonkSprite,0x2,0x0,0x0,0x0,0x81bc44c
PriestSprite,0x2,0x0,0x0,0x0,0x81bc568
BardSprite,0x2,0x0,0x0,0x0,0x81bc674
PegasusKnightSprite,0x2,0x0,0x1,0x0,0x81bc774
FalcoknightSprite,0x2,0x0,0x1,0x0,0x81bc918
ClericSprite,0x2,0x0,0x0,0x0,0x81bcac4
TroubadourSprite,0x2,0x0,0x1,0x0,0x81bcbe8
ValkyrieSprite,0x2,0x0,0x1,0x0,0x81bcda4
DancerSprite,0x2,0x0,0x0,0x0,0x81bcf54
SoldierSprite,0x2,0x0,0x0,0x0,0x81bd08c
NecromancerSprite,0x3,0x0,0x0,0x0,0x81bd1e0
FleetSprite,0x3,0x0,0x2,0x0,0x81bd2dc
PhantomSprite,0x2,0x0,0x2,0x0,0x81bd444
ArcherOnBallistaSprite,0x2,0x0,0x1,0x0,0x81bf690
ArcherOnIronBallistaSprite,0x2,0x0,0x1,0x0,0x81bf824
ArcherOnKillerBallistaSprite,0x2,0x0,0x1,0x0,0x81bf9b8
BallistaSprite,0x2,0x0,0x1,0x0,0x81bfb4c
IronBallistaSprite,0x2,0x0,0x1,0x0,0x81bfcc0
KillerBallistaSprite,0x2,0x0,0x1,0x0,0x81bfe34
Civilian1Sprite,0x2,0x0,0x0,0x0,0x81bffa8
Civilian2Sprite,0x2,0x0,0x0,0x0,0x81c0078
Civilian3Sprite,0x2,0x0,0x0,0x0,0x81c014c
Civilian4Sprite,0x2,0x0,0x0,0x0,0x81c022c
MaligKnightSprite,0x2,0x0,Medium,0x0,MaligKnightSt|IsPointer
ChampionSprite,0x2,0x0,Small,0x0,ChampionSt|IsPointer
CommanderSprite,0x2,0x0,Medium,0x0,CommanderSt|IsPointer
DarkKnightSprite,0x2,0x0,Medium,0x0,DarkKnightSt|IsPointer
HalberdierSprite,0x2,0x0,Small,0x0,HalberdierSt|IsPointer
HectorSprite,0x2,0x0,Medium,0x0,HectorSt|IsPointer
MarksmanSprite,0x2,0x0,Small,0x0,HunterSt|IsPointer
ImpalerSprite,0x2,0x0,Medium,0x0,ImaplerSt|IsPointer
IzukSprite,0x2,0x0,Small,0x0,IzukSt|IsPointer
MagusSprite,0x2,0x0,Small,0x0,MagusMSt|IsPointer
MagusFSprite,0x2,0x0,Small,0x0,MagusFSt|IsPointer
MatriarchSprite,0x2,0x0,Medium,0x0,MatriarchSt|IsPointer
MonkFSprite,0x2,0x0,Small,0x0,MonkFSt|IsPointer
MountedBrigandSprite,0x2,0x0,Large,0x0,MountedBrigandSt|IsPointer
BattleSageFSprite,0x2,0x0,Small,0x0,BattleSageFSt|IsPointer
PatriarchSprite,0x2,0x0,Medium,0x0,PatriarchSt|IsPointer
SentinelSprite,0x2,0x0,Medium,0x0,SentinelSt|IsPointer
TruebladeSprite,0x2,0x0,Small,0x0,TruebladeSt|IsPointer
TruerbladeSprite,0x2,0x0,Small,0x0,TruerbladeSt|IsPointer
WarlockSprite,0x2,0x0,Medium,0x0,WarlockSt|IsPointer
TruebladeFSprite,0x2,0x0,Small,0x0,TruebladeFSt|IsPointer
HarbingerSprite,0x2,0x0,Medium,0x0,HarbingerSt|IsPointer
EdgySwordmasterSprite,0x2,0x0,Small,0x0,EdgySwordmasterSt|IsPointer
BattleSageSprite,0x2,0x0,Small,0x0,BattleSageSt|IsPointer
DreadFighterSprite,0x2,0x0,Small,0x0,DreadFighterMSt|IsPointer
