INLINE EscapeQuoteTable,Text ID
None,0x0
PlayerMMonk,0x0
PlyaerMShaman,0x0
PlayerMMage,0x0
PlayerFMonk,0x0
PlayerFShaman,0x0
PlayerFMage,0x0
PlayerMCavalier,0x0
PlayerMKnight,0x0
PlayerMSoldier,0x0
PlayerMWyvernRider,0x0
PlayerFCavalier,0x0
PlayerFKnight,0x0
PlayerFSoldier,0x0
PlayerFWyvernKnight,0x0
PlayerMMercenary,Merc7MilitiaKillTactEscapeText
PlayerMFighter,Merc7MilitiaKillTactEscapeText
PlayerMBrigand,Merc7MilitiaKillTactEscapeText
PlayerMPirate,Merc7MilitiaKillTactEscapeText
PlayerMMyrmidon,Merc7MilitiaKillTactEscapeText
PlayerFMercenary,Merc7MilitiaKillTactEscapeText
PlayerFMyrmidon,Merc7MilitiaKillTactEscapeText
PlayerFPegasusKnight,Merc7MilitiaKillTactEscapeText
Xena,0x0
Vicar,0x0
Walter,0x0
Baret,0x0
Val,0x0
Helmer,0x0
Xavus,0x0
Dunlas,0x0
Johnathan,0x0
Elanil,0x0
Izuk,0x0
Maximus,0x0
Jurgen,0x0
Leon,0x0
Jasper,0x0
Derek,0x0
Lux,0x0
Yvette,0x0
Zalius,0x0
Leyos,0x0
Clara,0x0
Luke,Merc7MilitiaKillLukeEscapeText
Arc,Merc7MilitiaKillArcEscapeText
Efil,0x0
Uzkailis,0x0
Arya,Merc7MilitiaKillAryaEscapeText
Kendrick,Merc7MilitiaKillKendrickEscapeText
Connor,0x0
Adlez,0x0
Muriel,0x0
Brady,0x0
Forest,0x0
Cougar,0x0
Shannon,0x0
PlayerMArcher,0x0
PlayerFArcher,0x0
Finoc,0x0
Xexim,Merc7MilitiaKillXeximEscapeText
Uzkalis,0x0
Rex,0x0
BLANK,0x0
BLANK,0x0
BLANK,0x0
BLANK,0x0
BLANK,0x0
BLANK,0x0
BLANK,0x0
BLANK,0x0
Henning,0x0
Gerwick,0x0
MilitiaMan,0x0
Robert,0x0
RobertPirate,0x0
GhostBoss,0x0
TankGhost,0x0
FastGhost,0x0
MageGhost,0x0
StrongGhost,0x0
BLANK,0x0
Aaron,0x0
Cesarian,0x0
Shizonian,0x0
BLANK,0x0
Narrator,0x0
BLANK,0x0
Arcanian,0x0
BLANK,0x0
Guardian,0x0
William,0x0
Emperor,0x0
Grant,0x0
Pat,0x0
BossUzkalis,0x0
BossArc,0x0
Roger,0x0
Haedrican,0x0
Tyrone,0x0
Mayor,0x0
Bacrunian,0x0
Harken,0x0
Mason,0x0
Hunter,0x0
Daniel,0x0
Wanderer,0x0
MageMAvatar,0x0
MageFavatar,0x0
MercenaryMAvatar,0x0
MercenaryFAvatar,0x0
MilitaryMAvatar,0x0
MilitaryFAvatar,0x0
Kilthel,0x0
Xylia,0x0
Servius,0x0
Arveldir,0x0
ValSummon,0x0
Weston,0x0
GerwickBandit,0x0
WestonBansit,0x0
KendrickFriend,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
0x0,0x0
Wall,0x0
Snag,0x0
