INLINE ModularEXPClassTable 0xFF,Class Multiplier,Class Divisor,Granting Multiplier,Granting Divisor,Sword Multiplier,Sword Divisor,Lance Multiplier,Lance Divisor,Axe Multiplier,Axe Divisor,Bow Multiplier,Bow Divisor,Staff Multiplier,Staff Divisor,Anima Multiplier,Anima Divisor,Light Multiplier,Light Divisor,Dark Multiplier,Dark Divisor
Cavalier,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Cavalier_F,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Paladin,5,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Paladin_F,5,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Knight,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Knight_F,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
General,5,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
General_F,5,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Thief,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
0x0E Manakete,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Mercenary,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Mercenary_F,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Hero,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Hero_F,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Myrmidon,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Myrmidon_F,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Swordmaster,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Swordmaster_F,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Assassin,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Assassin_F,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
