INLINE SupplyUsabilityTable 0xFF,Pointer
Prologue,NormalSupplyList|IsPointer
,
Military1,NormalSupplyList|IsPointer
MilitaryAccept2,NormalSupplyList|IsPointer
MilitaryAccept3,NormalSupplyList|IsPointer
MilitaryAcceptHold4,NormalSupplyList|IsPointer
MilitaryAcceptHold5,NormalSupplyList|IsPointer
MilitaryAcceptHold6,NormalSupplyList|IsPointer
MilitaryAcceptHold7,NormalSupplyList|IsPointer
MilitaryAcceptRetreat4,NormalSupplyList|IsPointer
MilitaryAcceptRetreatLeave5,NormalSupplyList|IsPointer
MilitaryAcceptRetreatLeave6,NormalSupplyList|IsPointer
MilitaryAcceptRetreatLeave7,NormalSupplyList|IsPointer
MilitaryAcceptRetreatHelp5,NormalSupplyList|IsPointer
MilitaryAcceptRetreatHelp6,NormalSupplyList|IsPointer
MilitaryAcceptRetreatHelp7,NormalSupplyList|IsPointer
MilitaryPass2,NormalSupplyList|IsPointer
MilitaryPass3,NormalSupplyList|IsPointer
MilitaryPass4,NormalSupplyList|IsPointer
MilitaryPassHaedric5,NormalSupplyList|IsPointer
MilitaryPassHaedric6,NormalSupplyList|IsPointer
MilitaryPassHaedric7,NormalSupplyList|IsPointer
MilitaryPassAltia5,NormalSupplyList|IsPointer
MilitaryPassAltia6,NormalSupplyList|IsPointer
MilitaryPassAltia7,NormalSupplyList|IsPointer
,
Mercenary1,NormalSupplyList|IsPointer
MercenaryMilitia2,NormalSupplyList|IsPointer
MercenaryMilitiaWait3,NormalSupplyList|IsPointer
MercenaryMilitiaWait4,NormalSupplyList|IsPointer
MercenaryMilitiaWaitArcanae5,NormalSupplyList|IsPointer
MercenaryMilitiaWaitArcanae6,NormalSupplyList|IsPointer
MercenaryMilitiaWaitArcanae7,NormalSupplyList|IsPointer
MercenaryMilitiaWaitCesaria5,NormalSupplyList|IsPointer
MercenaryMilitiaWaitCesaria6,NormalSupplyList|IsPointer
MercenaryMilitiaWaitCesaria7,NormalSupplyList|IsPointer
MercenaryMilitiaKill3,NormalSupplyList|IsPointer
MercenaryMilitiaKill4,NormalSupplyList|IsPointer
MercenaryMilitiaKill5,NormalSupplyList|IsPointer
MercenaryMilitiaKill6,NormalSupplyList|IsPointer
MercenaryMilitiaKill7,NormalSupplyList|IsPointer
MercenaryBandit2,NormalSupplyList|IsPointer
MercenaryBandit3,NormalSupplyList|IsPointer
MercenaryBandit4,NormalSupplyList|IsPointer
MercenaryBanditBandit5,NormalSupplyList|IsPointer
MercenaryBanditBandit6,NormalSupplyList|IsPointer
MercenaryBanditBandit7,NormalSupplyList|IsPointer
MercenaryBanditDisband5,NormalSupplyList|IsPointer
MercenaryBanditDisband6,NormalSupplyList|IsPointer
MercenaryBanditDisband7,NormalSupplyList|IsPointer
MilitaryAcceptRetreatHelp6Grow2,NormalSupplyList|IsPointer
MilitaryAcceptRetreatHelp6Grow3,NormalSupplyList|IsPointer
,
ShizonShrineCutscene,NormalSupplyList|IsPointer
LeavingShizonCutscene,NormalSupplyList|IsPointer
LeavingUndergroundCutscene,NormalSupplyList|IsPointer
OutsideTempleCutscene,NormalSupplyList|IsPointer
MercenaryCampCutscene,NormalSupplyList|IsPointer
MaximusUzkalisCutscene,NormalSupplyList|IsPointer
HaedricCastleCutscene,NormalSupplyList|IsPointer
KilthelCutscene,NormalSupplyList|IsPointer
ArtifactDoorCutscene,NormalSupplyList|IsPointer
BacrunRuins1Cutscene,NormalSupplyList|IsPointer
BacrunRuins2Cutscene,NormalSupplyList|IsPointer
KilthelFightCutscene,NormalSupplyList|IsPointer
GuardianSpiritWallCutscene,NormalSupplyList|IsPointer
AltianDungeonCutscene,NormalSupplyList|IsPointer
HaedricCityCutscene,NormalSupplyList|IsPointer
PortSelsingCutscene,NormalSupplyList|IsPointer
KendrickShipCutscene,NormalSupplyList|IsPointer
,
0x3A Link Arena,NormalSupplyList|IsPointer
