INLINE SupportReworkBonusTable,Character 1,Character 2,C Attack,C Defense,C Hit,C Avoid,C Crit,C Crit Avoid,B Attack,B Defense,B Hit,B Avoid,B Crit,B Crit Avoid,A Attack,A Defense,A Hit,A Avoid,A Crit,A Crit Avoid
0,Arc,Luke,0,1,5,10,0,0,1,1,5,10,0,5,1,2,10,10,0,5
1,Arc,0xFF,1,0,10,0,0,0,1,2,10,5,0,0,2,1,10,5,5,0
2,Elanil,Finoc,0,1,0,5,0,5,1,1,5,10,0,5,1,2,10,10,0,5
3,Helmer,Val,2,0,5,0,0,0,2,0,10,5,0,0,2,0,10,5,5,0
4,Derek,Jasper,1,2,0,0,0,0,1,2,5,5,0,0,2,2,10,5,0,0
5,Lux,Maximus,0,2,0,5,0,0,0,2,5,10,0,0,0,3,5,10,0,5
6,Arya,0xFF,1,0,10,0,0,0,1,0,10,5,5,0,2,0,10,5,10,0
7,Arya,Kendrick,1,1,5,0,0,0,1,1,5,5,0,5,2,1,10,5,0,5
8,Arya,Xexim,3,0,0,0,0,0,3,0,5,0,5,0,3,0,5,5,0,5
9,Baret,Walter,0,1,0,5,0,0,1,2,0,5,0,0,1,2,5,5,0,5
10,Baret,Vicar,1,1,0,0,5,0,1,1,5,0,5,0,2,1,5,0,5,5
11,Vicar,Walter,0,3,0,0,0,0,0,3,0,5,0,5,0,3,0,10,0,5
12,Vicar,0xFF,1,0,10,0,0,0,2,0,10,0,5,0,1,0,15,0,5,0
13,Adlez,Connor,2,0,0,0,5,0,2,0,10,0,5,0,2,1,10,0,10,0
14,Jasper,0xFF,0,1,10,0,0,0,1,1,10,5,0,0,1,1,10,5,0,10
15,Derek,0xFF,0,2,0,0,0,5,0,2,5,0,5,5,1,3,10,0,5,5
16,Derek,Jasper,1,1,5,0,0,0,2,2,5,0,0,0,2,2,5,5,0,0
17,Cougar,Finoc,2,0,10,0,0,0,2,0,10,5,0,0,2,0,10,5,5,0
18,Christina,Forrest,0,1,10,0,0,0,1,1,10,5,0,0,1,2,10,10,0,0
19,Clara,Muriel,1,1,5,5,0,0,1,2,5,10,0,0,1,2,5,10,5,5
20,Madeleine,Remus,1,0,0,10,0,0,1,1,5,20,0,0,2,1,5,15,0,0
21,Madeleine,Yvette,0,0,5,5,0,5,1,0,5,10,5,5,1,0,5,15,5,10
22,Zaheva,0xFF,2,0,0,0,5,0,2,0,5,5,5,0,3,0,5,5,10,0
