INLINE GenericMusicTable 0xFF,Player Phase,Enemy Phase
Prologue,We_Can_Handle_Em,Like_a_Glint_of_Light
,,
Military1,We_Can_Handle_Em,Like_a_Glint_of_Light
MilitaryAccept2,We_Can_Handle_Em,Like_a_Glint_of_Light
MilitaryAccept3,We_Can_Handle_Em,Like_a_Glint_of_Light
MilitaryAcceptHold4,We_Can_Handle_Em,Like_a_Glint_of_Light
MilitaryAcceptHold5,We_Can_Handle_Em,Like_a_Glint_of_Light
MilitaryAcceptHold6,We_Can_Handle_Em,Like_a_Glint_of_Light
MilitaryAcceptHold7,We_Can_Handle_Em,Like_a_Glint_of_Light
MilitaryAcceptRetreat4,We_Can_Handle_Em,Like_a_Glint_of_Light
MilitaryAcceptRetreatLeave5,We_Can_Handle_Em,Like_a_Glint_of_Light
MilitaryAcceptRetreatLeave6,We_Can_Handle_Em,Like_a_Glint_of_Light
MilitaryAcceptRetreatLeave7,We_Can_Handle_Em,Like_a_Glint_of_Light
MilitaryAcceptRetreatHelp5,We_Can_Handle_Em,Like_a_Glint_of_Light
MilitaryAcceptRetreatHelp6,We_Can_Handle_Em,Like_a_Glint_of_Light
MilitaryAcceptRetreatHelp7,We_Can_Handle_Em,Like_a_Glint_of_Light
MilitaryPass2,We_Can_Handle_Em,Like_a_Glint_of_Light
MilitaryPass3,We_Can_Handle_Em,Like_a_Glint_of_Light
MilitaryPass4,We_Can_Handle_Em,Like_a_Glint_of_Light
MilitaryPassHaedric5,We_Can_Handle_Em,Like_a_Glint_of_Light
MilitaryPassHaedric6,We_Can_Handle_Em,Like_a_Glint_of_Light
MilitaryPassHaedric7,We_Can_Handle_Em,Like_a_Glint_of_Light
MilitaryPassAltia5,We_Can_Handle_Em,Like_a_Glint_of_Light
MilitaryPassAltia6,We_Can_Handle_Em,Like_a_Glint_of_Light
MilitaryPassAltia7,We_Can_Handle_Em,Like_a_Glint_of_Light
,,
Mercenary1,We_Can_Handle_Em,Like_a_Glint_of_Light
MercenaryMilitia2,We_Can_Handle_Em,Like_a_Glint_of_Light
MercenaryMilitiaWait3,We_Can_Handle_Em,Like_a_Glint_of_Light
MercenaryMilitiaWait4,We_Can_Handle_Em,Like_a_Glint_of_Light
MercenaryMilitiaWaitArcanae5,We_Can_Handle_Em,Like_a_Glint_of_Light
MercenaryMilitiaWaitArcanae6,We_Can_Handle_Em,Like_a_Glint_of_Light
MercenaryMilitiaWaitArcanae7,We_Can_Handle_Em,Like_a_Glint_of_Light
MercenaryMilitiaWaitCesaria5,We_Can_Handle_Em,Like_a_Glint_of_Light
MercenaryMilitiaWaitCesaria6,We_Can_Handle_Em,Like_a_Glint_of_Light
MercenaryMilitiaWaitCesaria7,We_Can_Handle_Em,Like_a_Glint_of_Light
MercenaryMilitiaKill3,We_Can_Handle_Em,Like_a_Glint_of_Light
MercenaryMilitiaKill4,We_Can_Handle_Em,Like_a_Glint_of_Light
MercenaryMilitiaKill5,We_Can_Handle_Em,Like_a_Glint_of_Light
MercenaryMilitiaKill6,We_Can_Handle_Em,Like_a_Glint_of_Light
MercenaryMilitiaKill7,We_Can_Handle_Em,Like_a_Glint_of_Light
MercenaryBandit2,We_Can_Handle_Em,Like_a_Glint_of_Light
MercenaryBandit3,We_Can_Handle_Em,Like_a_Glint_of_Light
MercenaryBandit4,We_Can_Handle_Em,Like_a_Glint_of_Light
MercenaryBanditBandit5,We_Can_Handle_Em,Like_a_Glint_of_Light
MercenaryBanditBandit6,We_Can_Handle_Em,Like_a_Glint_of_Light
MercenaryBanditBandit7,We_Can_Handle_Em,Like_a_Glint_of_Light
MercenaryBanditDisband5,We_Can_Handle_Em,Like_a_Glint_of_Light
MercenaryBanditDisband6,We_Can_Handle_Em,Like_a_Glint_of_Light
MercenaryBanditDisband7,We_Can_Handle_Em,Like_a_Glint_of_Light
MilitaryAcceptRetreatHelp6Grow2,We_Can_Handle_Em,Like_a_Glint_of_Light
MilitaryAcceptRetreatHelp6Grow3,We_Can_Handle_Em,Like_a_Glint_of_Light
,,
ShizonShrineCutscene,We_Can_Handle_Em,Like_a_Glint_of_Light
LeavingShizonCutscene,We_Can_Handle_Em,Like_a_Glint_of_Light
LeavingUndergroundCutscene,We_Can_Handle_Em,Like_a_Glint_of_Light
OutsideTempleCutscene,We_Can_Handle_Em,Like_a_Glint_of_Light
MercenaryCampCutscene,We_Can_Handle_Em,Like_a_Glint_of_Light
MaximusUzkalisCutscene,We_Can_Handle_Em,Like_a_Glint_of_Light
HaedricCastleCutscene,We_Can_Handle_Em,Like_a_Glint_of_Light
KilthelCutscene,We_Can_Handle_Em,Like_a_Glint_of_Light
ArtifactDoorCutscene,We_Can_Handle_Em,Like_a_Glint_of_Light
BacrunRuins1Cutscene,We_Can_Handle_Em,Like_a_Glint_of_Light
BacrunRuins2Cutscene,We_Can_Handle_Em,Like_a_Glint_of_Light
KilthelFightCutscene,We_Can_Handle_Em,Like_a_Glint_of_Light
GuardianSpiritWallCutscene,We_Can_Handle_Em,Like_a_Glint_of_Light
AltianDungeonCutscene,We_Can_Handle_Em,Like_a_Glint_of_Light
HaedricCityCutscene,We_Can_Handle_Em,Like_a_Glint_of_Light
PortSelsingCutscene,We_Can_Handle_Em,Like_a_Glint_of_Light
KendrickShipCutscene,We_Can_Handle_Em,Like_a_Glint_of_Light
,,
0x3A Link Arena,We_Can_Handle_Em,Like_a_Glint_of_Light
