INLINE ClassSkillTable,Skill
0x00 Separator/Nothing,0x0
Ephraim Lord,ShoveID
Eirika Lord,ShoveID
Ephraim Master Lord,CantoID
Eirika Master Lord,CantoID
Socialknight,CantoID
Socialknight (F),CantoID
Paladin,CantoID
Paladin (F),CantoID
Armour Knight,ShoveID
Armour Knight (F),ShoveID
General,ShoveID
General (F),ShoveID
Thief,CunningID
Mamkute,0x0
Mercenary,0x0
Mercenary (F),ShoveID
Hero,ShoveID
Hero (F),ShoveID
Swordfighter,0x0
Swordfighter (F),0x0
Swordmaster,0x0
Swordmaster (F),0x0
Assassin,LethalityID
Assassin (F),LethalityID
Archer,0x0
Archer (F),0x0
Sniper,0x0
Sniper (F),0x0
Forrest Knight,CantoID
Forrest Knight (F),CantoID
Dragon Knight,CantoID
Dragon Knight (F),CantoID
Dragon Master,CantoID
Dragon Master (F),CantoID
Wyvern Knight,CantoID
Wyvern Knight (F),CantoID
Mage,0x0
Mage (F),0x0
Sage,0x0
Sage (F),0x0
Mage Knight,CantoID
Mage Knight (F),CantoID
Bishop,0x0
Bishop (F),0x0
Shaman,0x0
Shaman (F),0x0
Druid,0x0
Druid (F),0x0
Summoner,SummonID
Summoner (F),SummonID
Rogue,LockTouchID
Gorgon Egg,0x0
Great Knight,CantoID
Great Knight (F),CantoID
Trainee Soldier (2),0x0
Trainee Fighter (3),0x0
Trainee Mage (3),0x0
Trainee Soldier (3),0x0
Mamkute,0x0
Mamkute (F),0x0
Trainee Fighter (1),0x0
Trainee Mage (1),0x0
Fighter,ShoveID
Warrior,ShoveID
Mountain Thief,ShoveID
Pirate,ShoveID
Berserker,ShoveID
Monk,0x0
Priest,0x0
Bard,0x0
Trainee Soldier (1),0x0
Pegasus Knight,CantoID
Falcon Knight,CantoID
Sister,0x0
Troubadour,CantoID
Valkyrie,CantoID
Dancer,DanceID
Soldier,ShoveID
Necromancer,SummonID
Fleet,0x0
Ghost Fighter,0x0
Patriarch,0x0
Matriarch,0x0
Dark Knight M,CantoID
Dark Knight F,CantoID
Magus,0x0
Magus F,0x0
Master Knight_F,CantoID
Commander,ShoveID
Impaler,ShoveID
Wyvern General,CantoID
Hunter,0x0
Master Knight,CantoID
Champion,ShoveID
Shadow,LethalityID
Trueblade,0x0
MountedBrigand,CantoID
BUGGED,0x0
Mountainier,ShoveID
Black Falcoknight,CantoID
Dragon Zombie,0x0
Demon King,SummonID
Archer on Ballista,0x0
Archer on Iron Ballista,0x0
Archer on Killer Ballista,0x0
Ballista,0x0
Iron Ballista,0x0
Killer Ballista,0x0
Civilian,0x0
Civilian (F),0x0
Civilian,0x0
Civilian (F),0x0
Civilian,0x0
Civilian (F),0x0
Mage2,0x0
MageF2,0x0
Shaman2,0x0
ShamanF2,0x0
Monk2,0x0
MonkF2,0x0
Cavalier2,CantoID
CavalierF2,CantoID
Knight2,ShoveID
Soldier2,ShoveID
Wyvern Rider2,CantoID
Archer2,0x0
ArcherF2,0x0
Mercenary2,ShoveID
MercenaryF2,ShoveID
Fighter2,ShoveID
Brigand2,ShoveID
Pirate2,ShoveID
Myrmidon2,0x0
MyrmidonF2,0x0
Pegasus Knight2,CantoID
Halberdier,ShoveID
Sentinel,ShoveID
Jacket Hero,ShoveID
Gladiator,ShoveID
Hector,ShoveID
Trueerblade,0x0
Gaiden Sage,0x0
Izuk,0x0
Nomad,CantoID
NarratorClass,0x0
Warlock,ShoveID
SpearHero,ShoveID
XeximClass,LethalityID
GrandPaladin,CantoID
HolySage,0x0
WilSniper,0x0
Battle Sage,ShoveID
Civilian,0x0
Civilian (F),0x0
ArmoredWyvernLord,CantoID
EdgySwordmaster,0x0
Emperor,0x0
MurielSage,0x0
Impaler F,ShoveID
SoldierF2,ShoveID
Hunter F,0x0
High Priest,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
-,0x0
